method,decay,m,trial,estimate,true_trace,relative_error
NA-Hutch++,0.5,20,33,59.2674489277182,61.80100876524323,0.040995444704616246
Gaussian-Hutch++,0.5,20,33,61.67176125514416,61.80100876524323,0.002091349521332709
Hutchinson,0.5,20,34,61.579569293792716,61.80100876524323,0.0035831044812176796
Hutch++,0.5,20,34,56.101834026707905,61.80100876524323,0.09221815068074635
NA-Hutch++,0.5,20,34,59.6936288787132,61.80100876524323,0.034099441556611286
Gaussian-Hutch++,0.5,20,34,62.64078660346231,61.80100876524323,0.013588416354319566
Hutchinson,0.5,20,35,62.22351148779222,61.80100876524323,0.0068365020408308564
Hutch++,0.5,20,35,54.85080892446911,61.80100876524323,0.1124609448880533
NA-Hutch++,0.5,20,35,60.752898998502495,61.80100876524323,0.01695942813364224
Gaussian-Hutch++,0.5,20,35,61.99342979816625,61.80100876524323,0.003113558124171464
Hutchinson,0.5,20,36,61.65316353717782,61.80100876524323,0.0023922785569248147
Hutch++,0.5,20,36,54.916536088511876,61.80100876524323,0.11139741590436902
NA-Hutch++,0.5,20,36,61.674261085837976,61.80100876524323,0.0020508998467438965
Gaussian-Hutch++,0.5,20,36,62.95931931161363,61.80100876524323,0.01874258316349414
Hutchinson,0.5,20,37,61.513080717238175,61.80100876524323,0.004658953854600946
Hutch++,0.5,20,37,55.76735972768911,61.80100876524323,0.09763026782416265
NA-Hutch++,0.5,20,37,60.458036041914866,61.80100876524323,0.02173059550580752
Gaussian-Hutch++,0.5,20,37,60.23111301876783,61.80100876524323,0.025402429148669647
Hutchinson,0.5,20,38,61.675420277763614,61.80100876524323,0.002032143002012756
Hutch++,0.5,20,38,55.750197467143984,61.80100876524323,0.09790796977252922
NA-Hutch++,0.5,20,38,59.35955419059828,61.80100876524323,0.03950509260971837
Gaussian-Hutch++,0.5,20,38,60.69462916564947,61.80100876524323,0.01790229029750063
Hutchinson,0.5,20,39,61.32913940094335,61.80100876524323,0.007635301975285277
Hutch++,0.5,20,39,56.905815472721464,61.80100876524323,0.07920895451911805
NA-Hutch++,0.5,20,39,59.85333342966423,61.80100876524323,0.03151526770343542
Gaussian-Hutch++,0.5,20,39,63.50992141543181,61.80100876524323,0.027651856892498966
Hutchinson,0.5,20,40,61.98942314763836,61.80100876524323,0.0030487266496059917
Hutch++,0.5,20,40,57.30788175378322,61.80100876524323,0.07270313383601171
NA-Hutch++,0.5,20,40,60.6733526979805,61.80100876524323,0.01824656409001734
Gaussian-Hutch++,0.5,20,40,62.937357486526466,61.80100876524323,0.018387219626135202
Hutchinson,0.5,20,41,61.589908375120714,61.80100876524323,0.003415808161391047
Hutch++,0.5,20,41,54.356010443138906,61.80100876524323,0.12046726211840378
NA-Hutch++,0.5,20,41,62.29043219607464,61.80100876524323,0.007919343722859408
Gaussian-Hutch++,0.5,20,41,62.208338827212984,61.80100876524323,0.0065909937411706716
Hutchinson,0.5,20,42,61.06210569091496,61.80100876524323,0.01195616526479464
Hutch++,0.5,20,42,54.943958958685165,61.80100876524323,0.11095368738405542
NA-Hutch++,0.5,20,42,61.04082263548078,61.80100876524323,0.012300545653713982
Gaussian-Hutch++,0.5,20,42,62.12327099896806,61.80100876524323,0.005214514134372315
Hutchinson,0.5,20,43,61.87251989329828,61.80100876524323,0.0011571191066911508
Hutch++,0.5,20,43,55.51325487938465,61.80100876524323,0.10174192964621648
NA-Hutch++,0.5,20,43,59.522872420070385,61.80100876524323,0.03686244594852093
Gaussian-Hutch++,0.5,20,43,60.55452188028483,61.80100876524323,0.020169361469378193
Hutchinson,0.5,20,44,61.25463448587449,61.80100876524323,0.008840863446811915
Hutch++,0.5,20,44,55.74406125673273,61.80100876524323,0.09800725958241834
NA-Hutch++,0.5,20,44,63.82682951107546,61.80100876524323,0.03277973590249137
Gaussian-Hutch++,0.5,20,44,61.52623422131166,61.80100876524323,0.004446117457003443
Hutchinson,0.5,20,45,61.01433962043804,61.80100876524323,0.012729066410443714
Hutch++,0.5,20,45,56.1978946201521,61.80100876524323,0.09066379751785401
NA-Hutch++,0.5,20,45,59.65090126775167,61.80100876524323,0.03479081556191001
Gaussian-Hutch++,0.5,20,45,62.09694420252971,61.80100876524323,0.004788521145514284
Hutchinson,0.5,20,46,60.78383093094228,61.80100876524323,0.01645891959732882
Hutch++,0.5,20,46,55.43191969307901,61.80100876524323,0.10305801150200943
NA-Hutch++,0.5,20,46,59.94469318340259,61.80100876524323,0.030036978666351938
Gaussian-Hutch++,0.5,20,46,61.085562209404465,61.80100876524323,0.0115766161448344
Hutchinson,0.5,20,47,61.87824809833793,61.80100876524323,0.0012498069956769814
Hutch++,0.5,20,47,55.98047476792245,61.80100876524323,0.09418186067853049
NA-Hutch++,0.5,20,47,59.810039974228424,61.80100876524323,0.03221579761873604
Gaussian-Hutch++,0.5,20,47,62.66854106444091,61.80100876524323,0.014037510334063925
Hutchinson,0.5,20,48,62.0102661842311,61.80100876524323,0.0033859871087663137
Hutch++,0.5,20,48,54.42976402823853,61.80100876524323,0.11927385789130153
NA-Hutch++,0.5,20,48,60.66031789927247,61.80100876524323,0.018457479720173815
Gaussian-Hutch++,0.5,20,48,61.32539034804743,61.80100876524323,0.0076959652714162635
Hutchinson,0.5,20,49,61.3510383115716,61.80100876524323,0.007280956454624973
Hutch++,0.5,20,49,55.764283022489934,61.80100876524323,0.09768005188530743
NA-Hutch++,0.5,20,49,62.41166744124105,61.80100876524323,0.00988104706053361
Gaussian-Hutch++,0.5,20,49,61.74870127492252,61.80100876524323,0.000846385704146179
Hutchinson,0.5,40,0,62.10823294366725,61.80100876524323,0.00497118387809872
Hutch++,0.5,40,0,60.10179419163167,61.80100876524323,0.02749493264852981
NA-Hutch++,0.5,40,0,59.70595734543908,61.80100876524323,0.033899955059995775
Gaussian-Hutch++,0.5,40,0,62.99599348921608,61.80100876524323,0.0193360067715417
Hutchinson,0.5,40,1,61.320115384893214,61.80100876524323,0.007781319269022542
Hutch++,0.5,40,1,60.44510537624835,61.80100876524323,0.021939826162796223
NA-Hutch++,0.5,40,1,61.61835076603997,61.80100876524323,0.002955582810906986
Gaussian-Hutch++,0.5,40,1,62.32165754795559,61.80100876524323,0.008424600069071503
Hutchinson,0.5,40,2,61.944662317222196,61.80100876524323,0.002324453190151725
Hutch++,0.5,40,2,60.58507961138094,61.80100876524323,0.019674907872153168
NA-Hutch++,0.5,40,2,59.95739571754914,61.80100876524323,0.02983143939765165
Gaussian-Hutch++,0.5,40,2,61.2137080277324,61.80100876524323,0.009503093060207893
Hutchinson,0.5,40,3,62.09864699178267,61.80100876524323,0.004816073919926559
