orientation,trial,method,q,r,ell,query_count,signal_rank,exact_signal_rank,signal_sigma_min,signal_sigma_max,sketch_sigma_min,projection_error_op,projection_error_fro,largest_angle_degrees,orthogonality_error,energy_gaussian,energy_rademacher,risk_gaussian,risk_rademacher,estimate,squared_error,squared_error_over_risk,detected_knee,gap,contrast,ritz_values
26,0,gated,8,8,44,60,5,,0.9697449014558746,3.72561828652002,0.008220272191141796,0.010656578642895638,0.012666608514840047,0.6105885373363038,4.955956064507733e-16,9.23341786608647e-05,7.273180915874878e-06,4.197008120948395e-06,3.305991325397672e-07,5.0948248567543475,3.0675156496054064e-08,0.09278656075228571,5.0,6.907641823440424,69076.41823440423,"[0.9999931392330771, 0.9999926230993066, 0.9999911241935804, 0.9999762800514426, 0.9998865508942961, 0.0010000000000001728, 0.0010000000000000584, 0.0009999999999997932]"
26,1,hpp,20,20,20,60,5,,2.7602185790819918,7.0018407059574415,0.006429026935618843,0.0028870506758282752,0.004538166957518402,0.16541604875805432,8.06419928691742e-16,8.004126457232095e-05,1.5875490744820702e-05,8.004126457232095e-06,1.5875490744820701e-06,5.0943281729417835,4.5135159614549776e-07,0.2843071772711964,,,,"[0.9999984925467106, 0.9999978779441957, 0.9999968305821408, 0.9999945512891204, 0.999991673273457, 0.001000000000000136, 0.0010000000000000933, 0.0010000000000000766, 0.0010000000000000388, 0.0010000000000000334, 0.001000000000000019, 0.0010000000000000102, 0.001000000000000003, 0.0009999999999999829, 0.0009999999999999718, 0.0009999999999999666, 0.0009999999999999543, 0.0009999999999999209, 0.000999999999999912, 0.0009999999999998896]"
26,1,gated,8,8,44,60,5,,0.6589441742693473,4.23716932120106,0.009496101035702201,0.01478145606242317,0.016602054636364313,0.8469458910827724,5.085420104571105e-16,9.259952824078506e-05,7.329164659739577e-06,4.20906946549023e-06,3.331438481699808e-07,5.095562447562988,3.163472611160857e-07,0.9495815782096481,5.0,6.907536982205053,69075.36982205052,"[0.9999958383780935, 0.9999938592512891, 0.9999805417056219, 0.9999726810269457, 0.9997817270481187, 0.0010000000000001956, 0.0010000000000000928, 0.0009999999999999586]"
26,2,hpp,20,20,20,60,5,,2.6124756510312066,5.897604726535592,0.005918739391391992,0.003697521055136638,0.005788138993270612,0.21185283385201295,8.474306398027171e-16,8.006724628829224e-05,1.5859911816892466e-05,8.006724628829225e-06,1.5859911816892466e-06,5.092770818688768,4.969249318324528e-06,3.133213712469547,,,,"[0.9999978694406245, 0.9999965666042856, 0.9999942601377814, 0.9999914927571459, 0.9999863420097084, 0.0010000000000000672, 0.00100000000000006, 0.0010000000000000518, 0.0010000000000000224, 0.001000000000000012, 0.001000000000000009, 0.001, 0.0009999999999999905, 0.0009999999999999714, 0.0009999999999999673, 0.0009999999999999543, 0.000999999999999944, 0.0009999999999998953, 0.0009999999999998146, 0.000999999999999687]"
26,2,gated,8,8,44,60,5,,1.446220531776272,3.6624958072838028,0.008644907377748765,0.007064000596029429,0.009723322689062834,0.4047407867792306,2.8363311644384903e-16,9.219198840769285e-05,7.2365431047061525e-06,4.190544927622402e-06,3.289337774866433e-07,5.094443598418902,3.0958271944308935e-07,0.9411703529159765,5.0,6.907705427535233,69077.05427535233,"[0.9999949301310085, 0.9999921249384641, 0.9999871529259082, 0.9999811937478232, 0.9999501497956841, 0.001000000000000025, 0.0009999999999999582, 0.0009999999999998805]"
26,3,hpp,20,20,20,60,5,,2.7915095454478727,6.709508773412039,0.007012735259868311,0.003095563369765476,0.004562582330113471,0.17736299956748822,6.793669452932018e-16,8.004172067644386e-05,1.5855775194312234e-05,8.004172067644385e-06,1.5855775194312234e-06,5.093815412975952,1.4032464175310618e-06,0.8850065041502562,,,,"[0.999998693130371, 0.9999976493280928, 0.9999967170551525, 0.9999957170760845, 0.9999904270699351, 0.0010000000000001627, 0.0010000000000000996, 0.0010000000000000783, 0.0010000000000000612, 0.001000000000000034, 0.0010000000000000315, 0.0010000000000000163, 0.0010000000000000122, 0.0009999999999999887, 0.0009999999999999786, 0.000999999999999962, 0.0009999999999999532, 0.0009999999999999406, 0.0009999999999998842, 0.0009999999999997934]"
26,3,gated,8,8,44,60,5,,1.1562705238146573,4.797888091544555,0.008851629494185043,0.008261583722297324,0.010749287258849024,0.47335926424446567,4.837565544270074e-16,9.223622540904957e-05,7.269833013019455e-06,4.192555700411344e-06,3.3044695513724794e-07,5.095780199707043,6.087115828778048e-07,1.8420856159046233,5.0,6.907687091145557,69076.87091145557,"[0.9999960863277088, 0.9999921372517908, 0.9999840950267356, 0.9999804352762026, 0.9999318144881655, 0.0010000000000000085, 0.000999999999999936, 0.0009999999999998504]"
26,4,hpp,20,20,20,60,5,,3.0096711707673696,5.789728616625189,0.0061878233170688055,0.002989171599620975,0.005213239081595435,0.17126717194885205,7.441905910276881e-16,8.005448189370372e-05,1.5841799717745655e-05,8.005448189370373e-06,1.5841799717745656e-06,5.095144689176808,2.0934957886851167e-08,0.013215012346987484,,,,"[0.9999976898202639, 0.9999969471227605, 0.9999948890912506, 0.9999922494935701, 0.9999910737882949, 0.0010000000000001002, 0.0010000000000000625, 0.0010000000000000542, 0.0010000000000000338, 0.0010000000000000256, 0.0010000000000000206, 0.0010000000000000052, 0.0009999999999999979, 0.0009999999999999848, 0.0009999999999999814, 0.0009999999999999705, 0.0009999999999999473, 0.0009999999999999332, 0.0009999999999999165, 0.0009999999999999029]"
26,4,gated,8,8,44,60,5,,1.3022097146052782,3.849870277466323,0.009041516675504225,0.007874890699528618,0.010798048352306105,0.45120266476484444,4.650238198964078e-16,9.223788086670163e-05,7.277917670804665e-06,4.192630948486438e-06,3.3081443958203026e-07,5.094620386553255,1.4410636894597563e-07,0.4356108794043204,5.0,6.907693325173189,69076.93325173188,"[0.9999956933816302, 0.9999912377039176, 0.9999871919051829, 0.9999713476485234, 0.9999380481103739, 0.0010000000000002242, 0.0009999999999998938, 0.00099999999999961]"
26,5,hpp,20,20,20,60,5,,2.5790052370126126,4.8632703246939775,0.006113080709034485,0.0034579504720636833,0.0056251889635471715,0.19812636266259448,7.761826690795575e-16,8.006347250035667e-05,1.580375813404607e-05,8.006347250035666e-06,1.5803758134046069e-06,5.0943373516062955,4.391028936729025e-07,0.27784713607261696,,,,"[0.9999965859574397, 0.9999962583675054, 0.9999951023719428, 0.9999923876590316, 0.9999880545359542, 0.0010000000000000872, 0.0010000000000000562, 0.0010000000000000451, 0.0010000000000000408, 0.0010000000000000204, 0.001000000000000012, 0.001000000000000004, 0.0009999999999999926, 0.000999999999999985, 0.0009999999999999707, 0.0009999999999999673, 0.000999999999999959, 0.0009999999999999493, 0.0009999999999998756, 0.0009999999999997244]"
26,5,gated,8,8,44,60,5,,1.0502413717081491,4.003008719362632,0.008818146599901688,0.008997092064715596,0.011837148076278961,0.5155023581437822,4.469051216554665e-16,9.228762820353482e-05,7.256707707689918e-06,4.194892191069765e-06,3.2985035034954176e-07,5.094721618453728,7.749628530214386e-08,0.23494377138002492,5.0,6.907674408994262,69076.74408994261,"[0.999994693996456, 0.9999882900098519, 0.9999853391642803, 0.9999725655908626, 0.9999191332820446, 0.0010000000000000302, 0.0009999999999999805, 0.0009999999999999018]"
26,6,hpp,20,20,20,60,5,,2.596863869832704,6.2069954104922305,0.005353216535601844,0.0033853406454853897,0.005248024998669157,0.19396610169403922,7.944662623477176e-16,8.005524137305718e-05,1.5865460909770567e-05,8.005524137305718e-06,1.5865460909770566e-06,5.0935539237907115,2.091136403056694e-06,1.3180432733403231,,,,"[0.9999980828546431, 0.9999972550909934, 0.9999959743506902, 0.9999926225498064, 0.9999885509292455, 0.0010000000000001182, 0.001000000000000066, 0.0010000000000000573, 0.0010000000000000365, 0.0010000000000000159, 0.0010000000000000033, 0.000999999999999995, 0.0009999999999999874, 0.000999999999999981, 0.0009999999999999699, 0.0009999999999999666, 0.0009999999999999519, 0.0009999999999999393, 0.0009999999999999163, 0.0009999999999998586]"
26,6,gated,8,8,44,60,5,,0.47164441410674407,4.285924187112103,0.009246681862951382,0.02348123066566546,0.024470235015861336,1.345499078469821,4.628996446547464e-16,9.350054216442479e-05,7.625614354937303e-06,4.25002464383749e-06,3.466188343153319e-07,5.094305783055108,4.81937166568432e-07,1.3903952089631575,5.0,6.907204310401268,69072.04310401269,"[0.9999960786368348, 0.999991621810523, 0.9999877051147376, 0.9999772176539569, 0.9994491831746192, 0.001000000000000172, 0.0010000000000001293, 0.0009999999999999122]"
26,7,hpp,20,20,20,60,5,,2.620143651047218,6.207484345178305,0.006681380639541942,0.0034432507154670013,0.005464317927104227,0.1972841236355922,8.172900209975576e-16,8.00599163536779e-05,1.583781425909589e-05,8.00599163536779e-06,1.5837814259095891e-06,5.093791017986174,1.461637509743815e-06,0.9228782998919026,,,,"[0.9999982259234791, 0.999997875759221, 0.9999953414115998, 0.9999905721135759, 0.9999881558804853, 0.0010000000000001368, 0.0010000000000000959, 0.0010000000000000434, 0.0010000000000000404, 0.0010000000000000278, 0.0010000000000000005, 0.0009999999999999953, 0.0009999999999999818, 0.0009999999999999712, 0.0009999999999999625, 0.0009999999999999482, 0.0009999999999999397, 0.0009999999999999265, 0.0009999999999998118, 0.0009999999999997181]"
26,7,gated,8,8,44,60,5,,0.41505303640428154,4.224706098469218,0.009060606382449968,0.021360669715835924,0.02238476831385173,1.2239693127475324,3.60000528648501e-16,9.32095849511266e-05,7.504738153512178e-06,4.2367993159603e-06,3.411244615232808e-07,5.095228388675183,5.216138695409751e-08,0.15291013350720273,5.0,6.907299353131223,69072.99353131223,"[0.9999956143021006, 0.9999936020744268, 0.9999862220463386, 0.9999798067350176, 0.9995441780675008, 0.001000000000000018, 0.0009999999999998957, 0.0009999999999998471]"
26,8,hpp,20,20,20,60,5,,2.260863979806866,5.497382556369464,0.006658748918513733,0.004006999020791202,0.0057275512885451765,0.22958474677754143,8.241180354959755e-16,8.006588975412057e-05,1.5859877459254607e-05,8.006588975412057e-06,1.5859877459254606e-06,5.095609855916874,3.7192423935179585e-07,0.23450637642522856,,,,"[0.9999979140632603, 0.9999971663401176, 0.9999958611603156, 0.9999923263825, 0.9999839600148882, 0.001000000000000232, 0.0010000000000001466, 0.0010000000000000956, 0.0010000000000000525, 0.0010000000000000378, 0.0010000000000000308, 0.001000000000000007, 0.0009999999999999976, 0.0009999999999999903, 0.0009999999999999822, 0.000999999999999973, 0.0009999999999999593, 0.0009999999999999577, 0.0009999999999999018, 0.0009999999999998387]"
26,8,gated,8,8,44,60,5,,1.1842828069252977,4.32381621285407,0.007717724123998333,0.0077658403127282664,0.011102099500076486,0.44495434677321677,5.674131437896488e-16,9.225132816980251e-05,7.274519075917134e-06,4.193242189536478e-06,3.3065995799623333e-07,5.095080588011581,6.494427611340935e-09,0.01964080456156991,5.0,6.907695029199558,69076.95029199557,"[0.9999947422902629, 0.999991561643851, 0.9999832473627244, 0.9999675633139516, 0.9999397520325126, 0.00100000000000011, 0.0010000000000000041, 0.0009999999999997413]"
26,9,hpp,20,20,20,60,5,,3.1209763802152866,6.280403354651081,0.0065641765416786105,0.0028585094958116924,0.004480397411878901,0.16378075285277305,8.111209373808461e-16,8.004021751952877e-05,1.587596398301306e-05,8.004021751952876e-06,1.5875963983013058e-06,5.094459546385845,2.9209010904852243e-07,0.1839825974416751,,,,"[0.9999984923454485, 0.9999981273616884, 0.9999964919109591, 0.9999949974003577, 0.9999918370945394, 0.0010000000000001319, 0.0010000000000000922, 0.0010000000000000599, 0.0010000000000000555, 0.001000000000000033, 0.0010000000000000221, 0.0010000000000000198, 0.0010000000000000054, 0.0009999999999999918, 0.0009999999999999753, 0.000999999999999969, 0.0009999999999999608, 0.0009999999999999512, 0.0009999999999999332, 0.0009999999999999228]"
26,9,gated,8,8,44,60,5,,0.9231456965916824,4.65491348555669,0.008844791496029241,0.010163522879958338,0.014501173537986727,0.5823369919295629,6.452081619559275e-16,9.2436085008492e-05,7.296173408935238e-06,4.201640227658727e-06,3.3164424586069264e-07,5.094644810122203,1.2615984928623924e-07,0.3804071708189165,5.0,6.907652079757049,69076.52079757048,"[0.9999963461933804, 0.9999873227550102, 0.9999772524993347, 0.9999321987024632, 0.999896806099866, 0.0010000000000000978, 0.0009999999999999694, 0.0009999999999998454]"
27,0,hpp,20,20,20,60,5,,2.5544485415641436,6.246348076953308,0.006595167222218794,0.003696225129494307,0.005364906450141864,0.21177858227474952,6.902169739547827e-16,8.005776806083907e-05,1.5877484665256642e-05,8.005776806083907e-06,1.5877484665256643e-06,5.094171256433623,6.868158988034839e-07,0.432572232493718,,,,"[0.9999983300492327, 0.9999977442237229, 0.9999959166663267, 0.9999929040398478, 0.9999863515818723, 0.0010000000000001772, 0.0010000000000000928, 0.0010000000000000607, 0.0010000000000000525, 0.0010000000000000297, 0.0010000000000000215, 0.0010000000000000141, 0.0009999999999999946, 0.0009999999999999794, 0.000999999999999976, 0.0009999999999999647, 0.0009999999999999417, 0.0009999999999999348, 0.0009999999999998305, 0.000999999999999756]"
27,0,gated,8,8,44,60,5,,1.2664742439278698,5.101303492494531,0.008997336675689456,0.007340365527893017,0.010627374197969965,0.42057574172712753,5.060824966827072e-16,9.223001866641511e-05,7.287299025176038e-06,4.192273575746141e-06,3.31240864780729e-07,5.094257259659242,5.516632137818014e-07,1.665444310885328,5.0,6.907701450448246,69077.01450448246,"[0.999997204097869, 0.9999925102296553, 0.9999859989671039, 0.9999652856492273, 0.9999461729148833, 0.0010000000000000443, 0.0009999999999999486, 0.0009999999999999174]"
27,1,hpp,20,20,20,60,5,,2.825439112345557,5.599444168203207,0.007025987509659978,0.00359749570547573,0.005124722700368359,0.20612176534562934,1.0025477768606711e-15,8.005268883457415e-05,1.586300257406556e-05,8.005268883457416e-06,1.586300257406556e-06,5.097961019339358,8.767635528081645e-06,5.527097084643901,,,,"[0.9999979396525429, 0.9999973985203557, 0.99999602950692, 0.9999953248335861, 0.9999870709666251, 0.0010000000000000972, 0.001000000000000073, 0.0010000000000000586, 0.0010000000000000378, 0.0010000000000000302, 0.0010000000000000154, 0.0010000000000000041, 0.0009999999999999944, 0.0009999999999999825, 0.0009999999999999742, 0.0009999999999999575, 0.0009999999999999501, 0.0009999999999999298, 0.000999999999999924, 0.0009999999999998498]"
