case_name,orient_idx,orient_type,trial,seed,dimension,budget_m,query_count_per_method,diag_concentration,gate_triggered,r_knee_detected,q_target,rel_err_hutch,rel_err_hpp,rel_err_ghpp,rel_err_gated,sq_err_hutch,sq_err_hpp,sq_err_ghpp,sq_err_gated
"Step (r*=5, eta=1e-3)",4,Haar-Random,3,2026,100,60,60,0.8037291519949001,True,5,8,0.05322112430163949,0.0004060527126611566,0.00014014322728869797,7.207023864963248e-05,0.07352862867144712,4.280093032892869e-06,5.098384739399355e-07,1.3483427273611206e-07
"Step (r*=5, eta=1e-3)",4,Haar-Random,4,2026,100,60,60,0.8037291519949001,True,5,8,0.08553308266080552,0.00023404595082923165,4.314788990974102e-05,7.104854848948376e-06,0.18991384462626243,1.42197067623513e-06,4.8328965682201223e-08,1.3103846475549052e-09
"Step (r*=5, eta=1e-3)",4,Haar-Random,5,2026,100,60,60,0.8037291519949001,True,5,8,0.030239286932326557,0.00044952620183799646,0.00018374212023908795,1.850445221698897e-05,0.02373730819548558,5.245638985404723e-06,8.764069716912608e-07,8.888753103664423e-09
"Step (r*=5, eta=1e-3)",4,Haar-Random,6,2026,100,60,60,0.8037291519949001,True,5,8,0.14485589924505723,0.00022297023742251656,0.00016920793776568674,5.468390242728847e-05,0.5447042322858463,1.290571794277929e-06,7.432413126846635e-07,7.762603006326506e-08
"Step (r*=5, eta=1e-3)",4,Haar-Random,7,2026,100,60,60,0.8037291519949001,True,5,8,0.03678003275168379,9.179911328235254e-05,5.377134871945215e-05,4.447963688857861e-05,0.035116611255680594,2.1875870769683416e-07,7.50568331291131e-08,5.135832404017991e-08
"Step (r*=5, eta=1e-3)",4,Haar-Random,8,2026,100,60,60,0.8037291519949001,True,5,8,0.025315638790945862,8.726631351402262e-05,0.00023850056071756295,7.540281104000483e-05,0.01663666063001073,1.976886049293089e-07,1.4766146928743577e-06,1.47592214930277e-07
"Step (r*=5, eta=1e-3)",4,Haar-Random,9,2026,100,60,60,0.8037291519949001,True,5,8,0.08205421703366003,0.00011828345935140439,4.920958722572617e-05,0.00012523783555878925,0.1747793775046913,3.631921153869354e-07,6.286194596519994e-08,4.0715472882092103e-07
"Step (r*=5, eta=1e-3)",5,Haar-Random,0,2026,100,60,60,0.8037794887912721,True,5,8,0.2255005336608912,0.00016203843820704626,8.323474477184597e-05,2.192399942332693e-05,1.3200291588593442,6.815919836087128e-07,1.7984471543643431e-07,1.2477510403329498e-08
"Step (r*=5, eta=1e-3)",5,Haar-Random,1,2026,100,60,60,0.8037794887912721,True,5,8,0.1302329755162889,5.341785140089084e-05,0.0004279150787385809,0.00018467187364910363,0.4402813639787961,7.407321725137033e-08,4.753391193791764e-06,8.852988246987542e-07
"Step (r*=5, eta=1e-3)",5,Haar-Random,2,2026,100,60,60,0.8037794887912721,True,5,8,0.015099174784437468,0.000270373442952705,0.00017054735845963877,2.543648418098449e-05,0.005918270369826756,1.8976514188067347e-06,7.55054623116029e-07,1.6795871486267416e-08
"Step (r*=5, eta=1e-3)",5,Haar-Random,3,2026,100,60,60,0.8037794887912721,True,5,8,0.09049307106839068,6.108598000171993e-05,0.00031561972084924943,9.906606093503157e-05,0.21257834958863941,9.686602268439373e-08,2.585929255172364e-06,2.5476406304928187e-07
"Step (r*=5, eta=1e-3)",5,Haar-Random,4,2026,100,60,60,0.8037794887912721,True,5,8,0.0924907203753764,9.193385972503363e-06,0.0001185777397521282,9.82363904917692e-05,0.2220673452402134,2.1940138474123825e-09,3.6500155310486434e-07,2.5051467417275443e-07
"Step (r*=5, eta=1e-3)",5,Haar-Random,5,2026,100,60,60,0.8037794887912721,True,5,8,0.037489629473290216,0.0002728749878050273,7.716463809943077e-05,0.00014486574632016023,0.0364846910409274,1.9329287036106563e-06,1.5456993492165958e-07,5.447782910687001e-07
"Step (r*=5, eta=1e-3)",5,Haar-Random,6,2026,100,60,60,0.8037794887912721,True,5,8,0.0666758185771227,0.00025944938237737957,0.00019832822067856638,4.175645250815385e-05,0.11540512324168314,1.7474053420029876e-06,1.0210744469999367e-06,4.5262190413372784e-08
