case_name,orient_idx,orient_type,trial,diag_concentration,gate_triggered,r_knee_detected,q_target,rel_err_hutch,rel_err_hpp,rel_err_ghpp,rel_err_gated,sq_err_hutch,sq_err_hpp,sq_err_ghpp,sq_err_gated
PowerLaw (c=0.5 - Flat),0,Coordinate-Aligned (U=I),0,1.0000000000000002,False,1,10,0.0,0.07017920281397377,0.011559001190264545,0.04772929704260199,0.0,0.2841198539090391,0.007707709507171421,0.13141798309376757
PowerLaw (c=0.5 - Flat),0,Coordinate-Aligned (U=I),1,1.0000000000000002,False,1,10,0.0,0.007917092374235104,0.016168363892704974,0.0030381360853755563,0.0,0.003615897789653063,0.015080539257531708,0.0005324749329488293
PowerLaw (c=0.5 - Flat),1,Haar-Random,0,0.5361736464078242,False,1,10,0.025165783441455605,0.015725438195113135,0.011086583216284663,0.03464375469938156,0.03653470723532201,0.014265606276877923,0.0070905539171848535,0.06923642436198188
PowerLaw (c=0.5 - Flat),1,Haar-Random,1,0.5361736464078242,False,2,10,0.007791644471338111,0.03487291930972524,0.00016658560349807624,0.009917229457572868,0.0035022163953732253,0.0701554365214551,1.6008832272114663e-06,0.00567368793389493
PowerLaw (c=0.5 - Flat),2,Haar-Random,0,0.54383054392874,False,1,10,0.04653476419880265,0.042677676407004865,0.03958389472563108,0.05150725041924967,0.12492223815694,0.10507181971184351,0.09039028740922238,0.15304581381757193
PowerLaw (c=0.5 - Flat),2,Haar-Random,1,0.54383054392874,False,1,10,0.01928517552942091,0.034466531969064365,0.03785698188906731,0.02038700243664119,0.021455167705920385,0.06852986795493875,0.08267547448046,0.02397681382495174
PowerLaw (c=1.0 - Moderate),0,Coordinate-Aligned (U=I),0,1.0,False,1,10,0.0,0.010391464179068569,0.016382817675691764,0.025598845018936476,0.0,0.0013976967535367095,0.003474054783712426,0.008482037901974446
PowerLaw (c=1.0 - Moderate),0,Coordinate-Aligned (U=I),1,1.0,False,1,10,0.0,0.06586882632971656,0.03049629380819653,0.024350757108632944,0.0,0.056158993668600235,0.01203797931734403,0.007675106388918638
PowerLaw (c=1.0 - Moderate),1,Haar-Random,0,0.5261003814560093,False,1,10,0.07485065876284884,0.004737586751261699,0.0470656345966781,0.02295505627554466,0.0725188186227064,0.0002905185164549744,0.028672615060121507,0.006820499639093871
PowerLaw (c=1.0 - Moderate),1,Haar-Random,1,0.5261003814560093,False,1,10,0.08371317899584686,0.004219166752723587,0.008113349277148008,0.00706533474621772,0.09070832255091148,0.00023041611355575123,0.0008520396629948985,0.0006461375083646163
PowerLaw (c=1.0 - Moderate),2,Haar-Random,0,0.522967636566325,False,1,10,0.031272845271859875,0.013415107718090527,0.015263003909894848,0.024001059931810943,0.012658850149447426,0.0023294199744004706,0.003015362278669472,0.007456247398167477
PowerLaw (c=1.0 - Moderate),2,Haar-Random,1,0.522967636566325,False,1,10,0.09515495508624829,0.021092906030129095,0.016194958607195126,0.012580300754143526,0.11719856223478883,0.005758804063115485,0.003394838754739333,0.002048526159795842
PowerLaw (c=2.0 - Steep),0,Coordinate-Aligned (U=I),0,0.9999999999999998,False,1,10,1.3911146354973374e-16,0.00300603311119209,0.003322023243272583,0.00090675189561346,4.930380657631324e-32,2.3021951331921922e-05,2.8116415008221846e-05,2.0947468973911046e-06
PowerLaw (c=2.0 - Steep),0,Coordinate-Aligned (U=I),1,0.9999999999999998,False,1,10,1.3911146354973374e-16,0.004750505543432007,0.0029428344142037044,0.000983214396423672,4.930380657631324e-32,5.749555491908925e-05,2.2064102368665818e-05,2.46292433267993e-06
PowerLaw (c=2.0 - Steep),1,Haar-Random,0,0.4845813579222961,False,1,10,0.046720134115982075,6.555288579805104e-05,0.011076749289932453,0.0039140870847463585,0.005561126486448222,1.0948087047676639e-08,0.0003125930108703991,3.903153036762575e-05
PowerLaw (c=2.0 - Steep),1,Haar-Random,1,0.4845813579222961,False,1,10,0.056601204630066196,0.006030676806325084,0.006986707800313845,0.0027316375521169965,0.008162176091614771,9.265881048523792e-05,0.00012436545767631222,1.9010816079096467e-05
PowerLaw (c=2.0 - Steep),2,Haar-Random,0,0.4770957204588616,False,1,10,0.3638558133266221,0.010871897953200078,0.0002950125721653811,0.0031539954124575626,0.3372975973213122,0.00030113785053349144,2.2173571967386096e-07,2.5344091398672078e-05
PowerLaw (c=2.0 - Steep),2,Haar-Random,1,0.4770957204588616,False,1,10,0.1344592545640047,0.0022398672771248907,0.002191395146262509,0.007565416787161639,0.046061280795786634,1.278201084334642e-05,1.2234775430774433e-05,0.00014582108625313837
Exponential (alpha=0.08),0,Coordinate-Aligned (U=I),0,1.0000000000000002,False,2,10,1.711216740854474e-16,0.038357858806276325,0.0081794692565846,0.025745413144990247,3.1554436208840472e-30,0.15854738987557937,0.007209425082139826,0.07142497800434627
Exponential (alpha=0.08),0,Coordinate-Aligned (U=I),1,1.0000000000000002,False,6,10,1.711216740854474e-16,0.021950658803023583,0.007877601475434651,0.02855393184271351,3.1554436208840472e-30,0.05192129342722711,0.006687108916610661,0.08785818382243156
Exponential (alpha=0.08),1,Haar-Random,0,0.5271528481666297,False,3,10,0.0281548401982618,0.06598299551042228,0.027380345322884986,0.004417399398237348,0.08541940023898738,0.46915293764930366,0.08078453448221871,0.002102731010956217
Exponential (alpha=0.08),1,Haar-Random,1,0.5271528481666297,False,7,10,0.011411265962852683,0.011631766720866365,0.023917054740732323,0.06282592533199839,0.014031950357148743,0.014579470507281096,0.06164044699486272,0.4253321113997134
Exponential (alpha=0.08),2,Haar-Random,0,0.5145796457924227,False,7,10,0.024390785679360125,0.06821618249388046,0.010002588311758905,0.04647876156864615,0.06410648494704185,0.5014471969373258,0.010781400349745677,0.23278740539409967
Exponential (alpha=0.08),2,Haar-Random,1,0.5145796457924227,False,4,10,0.04663076815638702,0.014482895679535049,0.0447860877146504,0.019101674041120384,0.2343125356173778,0.022602745199963494,0.21614074149187157,0.0393181652799485
