sample_size_s,independent_pairs_n,delta,norm_envelope_M0,ell_candidate,ell_baseline,variance_bound,one_sided_radius,nonvacuous,phase2b_data_only_radius
32,16,0.05,0.001,100,100,6.560000000000002e-14,2.7910571473905724e-07,True,inf
32,16,0.05,0.005,70,80,7.354113520408164e-11,9.345057413138077e-06,True,inf
32,16,0.05,0.005,80,100,5.1890624999999994e-11,7.849848227035984e-06,True,inf
32,16,0.05,0.005,100,100,4.1e-11,6.977642868476431e-06,True,inf
32,16,0.05,0.01,70,80,1.1766581632653062e-09,3.738022965255231e-05,True,inf
32,16,0.05,0.01,80,100,8.302499999999999e-10,3.1399392908143936e-05,True,inf
32,16,0.05,0.01,100,100,6.56e-10,2.7910571473905722e-05,True,inf
32,16,0.05,0.05,70,80,7.354113520408166e-07,0.0009345057413138078,True,inf
32,16,0.05,0.05,80,100,5.1890625e-07,0.0007849848227035985,True,inf
32,16,0.05,0.05,100,100,4.1000000000000004e-07,0.0006977642868476431,True,inf
32,16,0.05,0.1,70,80,1.1766581632653065e-05,0.0037380229652552313,True,inf
32,16,0.05,0.1,80,100,8.3025e-06,0.003139939290814394,True,inf
32,16,0.05,0.1,100,100,6.560000000000001e-06,0.0027910571473905724,True,inf
32,16,0.05,0.5,70,80,0.007354113520408165,0.09345057413138078,True,inf
32,16,0.05,0.5,80,100,0.0051890625,0.07849848227035984,True,inf
32,16,0.05,0.5,100,100,0.0041,0.06977642868476432,True,inf
32,16,0.05,1.0,70,80,0.11766581632653064,0.3738022965255231,True,inf
32,16,0.05,1.0,80,100,0.083025,0.31399392908143936,True,inf
32,16,0.05,1.0,100,100,0.0656,0.27910571473905726,True,inf
32,16,0.1,0.001,70,80,1.1766581632653065e-13,2.572683845397127e-07,True,inf
32,16,0.1,0.001,80,100,8.3025e-14,2.1610544301335864e-07,True,inf
32,16,0.1,0.001,100,100,6.560000000000002e-14,1.920937271229855e-07,True,inf
32,16,0.1,0.005,70,80,7.354113520408164e-11,6.431709613492817e-06,True,inf
32,16,0.1,0.005,80,100,5.1890624999999994e-11,5.402636075333966e-06,True,inf
32,16,0.1,0.005,100,100,4.1e-11,4.802343178074637e-06,True,inf
32,16,0.1,0.01,70,80,1.1766581632653062e-09,2.572683845397127e-05,True,inf
32,16,0.1,0.01,80,100,8.302499999999999e-10,2.1610544301335863e-05,True,inf
32,16,0.1,0.01,100,100,6.56e-10,1.9209372712298546e-05,True,inf
32,16,0.1,0.05,70,80,7.354113520408166e-07,0.0006431709613492817,True,inf
32,16,0.1,0.05,80,100,5.1890625e-07,0.0005402636075333967,True,inf
32,16,0.1,0.05,100,100,4.1000000000000004e-07,0.0004802343178074637,True,inf
32,16,0.1,0.1,70,80,1.1766581632653065e-05,0.002572683845397127,True,inf
32,16,0.1,0.1,80,100,8.3025e-06,0.0021610544301335867,True,inf
32,16,0.1,0.1,100,100,6.560000000000001e-06,0.0019209372712298547,True,inf
32,16,0.1,0.5,70,80,0.007354113520408165,0.06431709613492818,True,inf
32,16,0.1,0.5,80,100,0.0051890625,0.054026360753339664,True,inf
32,16,0.1,0.5,100,100,0.0041,0.04802343178074637,True,inf
32,16,0.1,1.0,70,80,0.11766581632653064,0.25726838453971274,True,inf
32,16,0.1,1.0,80,100,0.083025,0.21610544301335866,True,inf
32,16,0.1,1.0,100,100,0.0656,0.19209372712298547,True,inf
