setup,trial,target_q,loss_power,loss_exp,rel_err_tail_power,rel_err_tail_exp,amplification_power,amplification_exp
Exponential (alpha=0.05),14,20,0.007394532476419596,0.0005944334743139998,9.59245186602477,0.864758894189605,1297.2357475360177,1454.7614326949038
Exponential (alpha=0.05),14,40,0.007394532476419596,0.0005944334743139998,66.1259012338706,0.9716302165777422,8942.539834099958,1634.5482832448063
Exponential (alpha=0.05),14,60,0.007394532476419596,0.0005944334743139998,438.4626822843621,0.9940488166921706,59295.524581612015,1672.2625120785476
Exponential (alpha=0.05),14,80,0.007394532476419596,0.0005944334743139998,2917.721318796781,0.9987516089832399,394578.2005429709,1680.1738974334608
Exponential (alpha=0.05),15,20,0.008817369118103338,0.0010182952050044832,11.56442163894105,0.8402714132336413,1311.5501327812244,825.1746726085852
Exponential (alpha=0.05),15,40,0.008817369118103338,0.0010182952050044832,79.3141789800111,0.9617697195940319,8995.220445991352,944.4900790290056
Exponential (alpha=0.05),15,60,0.008817369118103338,0.0010182952050044832,527.6613117631423,0.9908497635300366,59843.39598757793,973.0476562075401
Exponential (alpha=0.05),15,80,0.008817369118103338,0.0010182952050044832,3524.263290023942,0.9978099342568677,399695.56025372946,979.882776991562
Exponential (alpha=0.05),16,20,0.012310277608289238,0.0014165188567528315,9.524193613931965,0.8829947762664434,773.6782155704664,623.3554685373043
Exponential (alpha=0.05),16,40,0.012310277608289238,0.0014165188567528315,65.6709267017668,0.978136872372472,5334.64222222024,690.5216030263024
Exponential (alpha=0.05),16,60,0.012310277608289238,0.0014165188567528315,435.39260289547553,0.9959147435096508,35368.21968717681,703.0719979891917
Exponential (alpha=0.05),16,80,0.012310277608289238,0.0014165188567528315,2896.8827892473796,0.9992366453289402,235322.29582389066,705.4171145410173
Exponential (alpha=0.05),17,20,0.008654160684887679,0.0013933362342483024,12.100571207248173,0.8289290359655352,1398.2374081614348,594.9239063734061
Exponential (alpha=0.05),17,40,0.008654160684887679,0.0013933362342483024,82.91329124212494,0.9567816358550282,9580.74321145105,686.6839544185995
Exponential (alpha=0.05),17,60,0.008654160684887679,0.0013933362342483024,552.0670578628178,0.989081566179765,63792.09699249892,709.8656743133531
Exponential (alpha=0.05),17,80,0.008654160684887679,0.0013933362342483024,3690.556491714791,0.9972416309719735,426448.8060330302,715.7221679476798
