eta,budget,s,action,estimator,rank_scope,observations,mean_signed_error,median_absolute_error,max_absolute_error,median_relative_error,median_log_risk_ratio,max_relative_error,p90_relative_error,p95_relative_error,p99_relative_error
1e-06,160,4,kp2,mom_w2,15,40000,-1.6601799747480511e-15,1.6845801743565326e-13,3.5745148757876608e-12,0.6487329097718748,-0.41477826520360483,13.765185528509104,1.3041793258053085,2.06295241667107,4.015298224071607
1e-06,160,4,kp2,mom_w2,30,40000,3.6886665283154924e-16,3.966858032774932e-13,5.678185188902825e-12,0.6380653287325373,-0.39137339029916807,9.134550664386921,1.3086592417195377,2.0645608194917937,3.8453429632713525
1e-06,160,4,kp2,mom_w2,equal_rank,120000,-2.827854557609204e-16,1.4476080025379085e-13,5.678185188902825e-12,0.6528644028749003,-0.4321691086801347,17.06844096369241,1.3382598256686906,2.1302365679870245,4.160205177509208
1e-06,240,4,km1,sample_variance,5,40000,6.574545969166563e-05,0.006927886469069123,0.4611275026535509,0.8082420219457488,-0.9840976404425056,53.79477212799774,1.5178979811357578,3.0299721321731425,8.198316449361114
1e-06,240,4,km1,sample_variance,15,40000,8.230461048196178e-05,0.007591664703790928,0.4987084136992773,0.8095166395438539,-0.9784214210483763,53.15628152932701,1.539027751413157,3.0739849652222135,7.844075553841769
1e-06,240,4,km1,sample_variance,30,40000,-5.64977225348203e-05,0.008833540515961469,0.5208559118073008,0.8085638344608131,-0.9933490704957413,47.6923961991911,1.5534189362380313,3.0353565664094715,7.648591559338648
1e-06,240,4,km1,sample_variance,equal_rank,120000,3.0517449212935698e-05,0.007620755276039262,0.5208559118073008,0.8087284676207487,-0.985394471274279,53.79477212799774,1.536231908667574,3.04950256316133,7.879400341423046
1e-06,240,4,km1,paired_mean,5,40000,8.06917525561212e-05,0.007241519224679523,0.4904590204865881,0.8447570129368231,-1.107098526854855,57.21656395111963,1.593349633523748,3.217247699673493,8.640528456740897
1e-06,240,4,km1,paired_mean,15,40000,0.000106439097139598,0.00792612372294063,0.4940473651414401,0.8451819956318645,-1.1087406050331408,52.659470161087974,1.6001544875574738,3.2413387153940314,8.418837087666727
1e-06,240,4,km1,paired_mean,30,40000,-7.866174612448648e-05,0.009255938087244259,0.5530226229970752,0.8472985134496682,-1.1155555494740086,50.637754982130744,1.6181605593283055,3.1758125252740594,8.083901668630327
1e-06,240,4,km1,paired_mean,equal_rank,120000,3.615636785707756e-05,0.007935568462606114,0.5530226229970752,0.8458021169062946,-1.1100597090610687,57.21656395111963,1.6042119866968854,3.2124372705039694,8.378802125027137
1e-06,240,4,km1,mom_w1,5,40000,8.06917525561212e-05,0.007241519224679523,0.4904590204865881,0.8447570129368231,-1.107098526854855,57.21656395111963,1.593349633523748,3.217247699673493,8.640528456740897
1e-06,240,4,km1,mom_w1,15,40000,0.000106439097139598,0.00792612372294063,0.4940473651414401,0.8451819956318645,-1.1087406050331408,52.659470161087974,1.6001544875574738,3.2413387153940314,8.418837087666727
1e-06,240,4,km1,mom_w1,30,40000,-7.866174612448648e-05,0.009255938087244259,0.5530226229970752,0.8472985134496682,-1.1155555494740086,50.637754982130744,1.6181605593283055,3.1758125252740594,8.083901668630327
1e-06,240,4,km1,mom_w1,equal_rank,120000,3.615636785707756e-05,0.007935568462606114,0.5530226229970752,0.8458021169062946,-1.1100597090610687,57.21656395111963,1.6042119866968854,3.2124372705039694,8.378802125027137
1e-06,240,4,km1,mom_w2,5,40000,8.06917525561212e-05,0.007241519224679523,0.4904590204865881,0.8447570129368231,-1.107098526854855,57.21656395111963,1.593349633523748,3.217247699673493,8.640528456740897
1e-06,240,4,km1,mom_w2,15,40000,0.000106439097139598,0.00792612372294063,0.4940473651414401,0.8451819956318645,-1.1087406050331408,52.659470161087974,1.6001544875574738,3.2413387153940314,8.418837087666727
1e-06,240,4,km1,mom_w2,30,40000,-7.866174612448648e-05,0.009255938087244259,0.5530226229970752,0.8472985134496682,-1.1155555494740086,50.637754982130744,1.6181605593283055,3.1758125252740594,8.083901668630327
1e-06,240,4,km1,mom_w2,equal_rank,120000,3.615636785707756e-05,0.007935568462606114,0.5530226229970752,0.8458021169062946,-1.1100597090610687,57.21656395111963,1.6042119866968854,3.2124372705039694,8.378802125027137
1e-06,240,4,k,sample_variance,5,40000,1.1975267954575722e-12,2.7295474723706947e-14,8.713913862830909e-08,0.6157041474625498,-0.4314914088958558,27.581770091321516,1.2328832396432308,2.1049516477478236,4.504393933470939
1e-06,240,4,k,sample_variance,15,40000,1.425136795197481e-10,8.043860517771784e-14,1.4165400348560036e-05,0.5616908499192874,-0.312132095970172,25.907651536698996,1.1271272959806098,1.7709230956228634,3.4845627610762246
1e-06,240,4,k,sample_variance,30,40000,6.507206054390651e-14,1.7770463782674027e-13,9.74986366614185e-09,0.547838634069157,-0.2874768627254469,17.735490444051152,1.1125223659351116,1.7011822271024726,3.18204233154189
1e-06,240,4,k,sample_variance,equal_rank,120000,4.7925426125249716e-11,6.861969951352592e-14,1.4165400348560036e-05,0.575649495930811,-0.34002306433015894,27.581770091321516,1.1558804705873087,1.8358221785616982,3.7372753964099727
1e-06,240,4,k,paired_mean,5,40000,1.683245435522688e-12,3.0930310438451764e-14,7.677672027441222e-08,0.6989898501127256,-0.5527055290068034,25.877886665711355,1.4124750774763886,2.401484211745954,5.078840871976654
1e-06,240,4,k,paired_mean,15,40000,3.847327757589637e-10,9.410031803207759e-14,1.7086684517308134e-05,0.6584310009015912,-0.4415396777896058,23.922206254065745,1.3326565714429766,2.1193320884480324,4.169650233507214
1e-06,240,4,k,paired_mean,30,40000,3.0431600892690233e-14,2.1038258036790806e-13,9.757721748300343e-09,0.6472800030206496,-0.4177763728531689,17.519675200507297,1.3044690223174766,2.0850550300168296,3.9810567055905115
1e-06,240,4,k,paired_mean,equal_rank,120000,1.2881548426512646e-10,8.178167214257872e-14,1.7086684517308134e-05,0.6694108723619427,-0.4667664981956321,25.877886665711355,1.3479975174494727,2.1887792043378003,4.416835352918902
1e-06,240,4,k,mom_w1,5,40000,1.683245435522688e-12,3.0930310438451764e-14,7.677672027441222e-08,0.6989898501127256,-0.5527055290068034,25.877886665711355,1.4124750774763886,2.401484211745954,5.078840871976654
1e-06,240,4,k,mom_w1,15,40000,3.847327757589637e-10,9.410031803207759e-14,1.7086684517308134e-05,0.6584310009015912,-0.4415396777896058,23.922206254065745,1.3326565714429766,2.1193320884480324,4.169650233507214
