matrix_name,family,param,true_trace,mean_pilot_gamma_gap,mean_pilot_tau_ratio,mean_pilot_kappa,mean_pilot_decay_slope,mean_pilot_energy_top4,q_oracle_star,mse_oracle_star,mse_standard_hutch,oracle_gain_ratio,gated_trigger_rate,mean_q_gated,mse_gated,achieved_gain_ratio,adaptation_efficiency,regime
"Step (r=6, drop=100)",Step Location Sweep,6.0,6.9399999999999995,4.574458684115466,96.97553053125672,99.95658443074959,-1.8314913067033383,0.6680339505440922,10,5.4627564548154567e-05,0.0001964243735447811,3.595700726720696,1.0,8.0,0.00011812502335012451,1.6628515108316722,0.5521940214925386,Obvious Adapt (Captured)
PowerLaw (alpha=0.0),Power Law Sweep,0.0,100.0,6.816769371198461e-16,1.0000000000000007,1.000000000000002,-9.055536866711096e-16,0.5000000000000002,2,0.044297337592081945,1.5973396335660162,36.05949522915655,0.0,20.0,1.1652343030444203,1.3708312820800328,0.278231527654961,Under-triggered
PowerLaw (alpha=0.5),Power Law Sweep,0.5,18.589603824784156,0.49031363793921584,1.6328282565436072,4.171192530070616,-0.6743357187589892,0.6843721445179886,8,0.02637072796141586,0.039791548911162454,1.5089287246595229,0.0,20.0,0.06388436052894164,0.6228683919147256,-1.795181659005301,Under-triggered
PowerLaw (alpha=1.0),Power Law Sweep,1.0,5.187377517639621,0.7553863589047267,2.128433703831292,15.667521163544073,-1.309538242460941,0.8307169717618197,18,0.002444011310061814,0.0032067397808054022,1.3120805814619152,0.0,20.0,0.0023102819346008862,1.388029630833513,1.1753302526265401,Transition / Mild Decay
PowerLaw (alpha=1.5),Power Law Sweep,1.5,2.4128740987037163,1.0632404940832247,2.8957394283684006,44.16057908445094,-1.7785119772768347,0.9009766895780801,20,0.0001222049985095389,0.0001222049985095389,1.0,0.0,20.0,8.56087749565085e-05,1.427482154389223,1.0,Benign Baseline (Protected)
PowerLaw (alpha=2.0),Power Law Sweep,2.0,1.6349839001848931,1.3899748154953853,4.014748942257732,117.80890463079837,-2.237099794240859,0.9466716730361197,22,4.747959047642954e-06,7.52769020548211e-06,1.5854581157811602,1.0,8.0,6.16593936471406e-05,0.12208505079633068,-19.473718992212962,Transition / Mild Decay
PowerLaw (alpha=2.5),Power Law Sweep,2.5,1.3408255697514642,1.733847313169692,5.66239707005207,306.3410730350261,-2.6828900904835233,0.9727257911934464,26,2.1423496647180177e-07,2.8710145549504005e-07,1.3401241647115958,1.0,8.0,6.633759086828688e-06,0.0432788486493396,-87.09981387067515,Transition / Mild Decay
PowerLaw (alpha=3.0),Power Law Sweep,3.0,1.2020074006596775,2.079740642728834,8.002393166273414,933.5456551917581,-3.1961422201555054,0.9874423256158635,24,5.230005225367637e-09,1.1572865642604831e-08,2.2127828068835877,1.0,8.0,3.751450430762679e-07,0.030849043206608598,-57.31990829336693,Transition / Mild Decay
Exponential (beta=0.03),Exponential Sweep,0.03,32.1512463502508,0.15073340017167522,1.162686644699027,1.728665243307081,-0.2464818294011939,0.5722178953904323,4,0.20736790465168958,0.4892039539453549,2.3591112364618714,0.0,20.0,0.4517619769854703,1.0828798767212071,0.13285020512358606,Under-triggered
Exponential (beta=0.08),Exponential Sweep,0.08,13.002302705322162,0.2532590966678384,1.2882170063324565,2.6131994656460433,-0.4378756209198207,0.6279981290034055,24,0.05067409344241185,0.05248085251622851,1.0356544922874633,0.0,20.0,0.059619126337968044,0.8802687281716577,-3.950871992390425,Benign Baseline (Protected)
Exponential (beta=0.15),Exponential Sweep,0.15,7.179159785554107,0.4139984129867035,1.5128547259619236,4.433408743511112,-0.6783553451585158,0.6902112784334469,28,0.0013183092139557669,0.0028287510907853437,2.145741727995126,0.0,20.0,0.002432420016933099,1.1629369397937928,0.2623941244823967,Transition / Mild Decay
Exponential (beta=0.3),Exponential Sweep,0.3,3.8582959135097217,0.6286061004061952,1.8749952018508038,12.817266815500611,-1.1583438109697628,0.7942762212059076,28,2.2958369567080134e-07,4.421980471566515e-06,19.260864577714464,0.0,20.0,5.390260971863886e-06,0.820364819931427,-0.2309610831361485,Transition / Mild Decay
Neural Spiked Bulk,ML Curvature,4.0,188.586814654498,2.357421038253152,10.563672983957776,1027.793014665067,-3.591847960085326,0.9914016308264137,18,0.0011444822989758383,0.0012813077128052584,1.1195522324389473,1.0,8.0,0.007863035636969063,0.16295331370253838,-48.10310994103207,False Trigger Risk
