sample_size,T_cap,kappa,epsilon,truncation_bias_beta,variance_envelope_nu,bernstein_lower_tail_D,analytic_probability_floor,is_admissible,strictly_exceeds_analytic_floor
4,1024.0,0.044721359549995794,0.5,8.363355937120393e-36,80.0,0.9937824035125197,0.9753099120283326,True,True
4,1024.0,0.044721359549995794,0.75,8.363355937120393e-36,80.0,0.9860791127053207,0.9753099120283326,True,True
4,1024.0,0.044721359549995794,0.99,8.363355937120393e-36,80.0,0.9758934755785573,0.9753099120283326,True,True
4,2048.0,1.0,0.1,0.44466706591330735,80.69160533231866,1.0,0.9753099120283326,False,True
4,2048.0,1.0,0.25,0.44466706591330735,80.69160533231866,1.0,0.9753099120283326,False,True
4,2048.0,1.0,0.5,0.44466706591330735,80.69160533231866,0.9999241329310461,0.9753099120283326,True,True
4,2048.0,1.0,0.75,0.44466706591330735,80.69160533231866,0.9976948432391861,0.9753099120283326,True,True
4,2048.0,1.0,0.99,0.44466706591330735,80.69160533231866,0.9926725674797827,0.9753099120283326,True,True
4,2048.0,0.5,0.1,0.00010271072030416535,80.00020541089111,0.999750648825912,0.9753099120283326,True,True
4,2048.0,0.5,0.25,0.00010271072030416535,80.00020541089111,0.9984416270547142,0.9753099120283326,True,True
4,2048.0,0.5,0.5,0.00010271072030416535,80.00020541089111,0.9937849629808753,0.9753099120283326,True,True
4,2048.0,0.5,0.75,0.00010271072030416535,80.00020541089111,0.9860829281327608,0.9753099120283326,True,True
4,2048.0,0.5,0.99,0.00010271072030416535,80.00020541089111,0.9758984673045339,0.9753099120283326,True,True
4,2048.0,0.25,0.1,2.3379040835907597e-11,80.00000000004675,0.9997501353447728,0.9753099120283326,True,True
4,2048.0,0.25,0.25,2.3379040835907597e-11,80.00000000004675,0.9984403434412108,0.9753099120283326,True,True
4,2048.0,0.25,0.5,2.3379040835907597e-11,80.00000000004675,0.9937824035131023,0.9753099120283326,True,True
4,2048.0,0.25,0.75,2.3379040835907597e-11,80.00000000004675,0.9860791127061892,0.9753099120283326,True,True
4,2048.0,0.25,0.99,2.3379040835907597e-11,80.00000000004675,0.9758934755796936,0.9753099120283326,True,True
4,2048.0,0.1,0.1,1.0742382559444299e-28,80.0,0.9997501353446558,0.9753099120283326,True,True
4,2048.0,0.1,0.25,1.0742382559444299e-28,80.0,0.9984403434409186,0.9753099120283326,True,True
4,2048.0,0.1,0.5,1.0742382559444299e-28,80.0,0.9937824035125197,0.9753099120283326,True,True
4,2048.0,0.1,0.75,1.0742382559444299e-28,80.0,0.9860791127053207,0.9753099120283326,True,True
4,2048.0,0.1,0.99,1.0742382559444299e-28,80.0,0.9758934755785573,0.9753099120283326,True,True
4,2048.0,0.044721359549995794,0.1,1.6620208733654504e-56,80.0,0.9997501353446558,0.9753099120283326,True,True
4,2048.0,0.044721359549995794,0.25,1.6620208733654504e-56,80.0,0.9984403434409186,0.9753099120283326,True,True
4,2048.0,0.044721359549995794,0.5,1.6620208733654504e-56,80.0,0.9937824035125197,0.9753099120283326,True,True
