c,m,algorithm,median_rel_err,iqr_rel_err,exact_trace
1.0,40,Hutchinson,0.023691525208307446,0.03871761883553332,6.792823429990525
1.0,40,Hutch++,0.011457398131826982,0.01978048727317366,6.792823429990525
1.0,40,Gaussian-Hutch++,0.011442403560131209,0.015098106894488265,6.792823429990525
1.0,40,NA-Hutch++,0.02730825709736929,0.029906066500395404,6.792823429990525
1.0,80,Hutchinson,0.020795470487809123,0.030104960953740927,6.792823429990525
1.0,80,Hutch++,0.003557470935097258,0.004497272757630483,6.792823429990525
1.0,80,Gaussian-Hutch++,0.0054638993067786116,0.007650371534648637,6.792823429990525
1.0,80,NA-Hutch++,0.013232268190099346,0.009579501176874438,6.792823429990525
1.0,160,Hutchinson,0.012253143269507553,0.01604593508843752,6.792823429990525
1.0,160,Hutch++,0.0021729813926687925,0.0023094173357915953,6.792823429990525
1.0,160,Gaussian-Hutch++,0.0023262637984632463,0.003045626203783872,6.792823429990525
1.0,160,NA-Hutch++,0.005245130134789397,0.006039317000300963,6.792823429990525
1.0,320,Hutchinson,0.011150284209103198,0.0136960144357198,6.792823429990525
1.0,320,Hutch++,0.0009898532429204676,0.001279402915845753,6.792823429990525
1.0,320,Gaussian-Hutch++,0.0008580257909419523,0.00122307584021074,6.792823429990525
1.0,320,NA-Hutch++,0.0024317754762028304,0.0022982949899899713,6.792823429990525
1.5,20,Hutchinson,0.07904600613397235,0.07802797604403897,2.52297732858438
1.5,20,Hutch++,0.01790304200982932,0.01862762172521391,2.52297732858438
1.5,20,Gaussian-Hutch++,0.03297825569398276,0.036935425703636005,2.52297732858438
1.5,20,NA-Hutch++,0.04543163086403773,0.08626976304061154,2.52297732858438
1.5,40,Hutchinson,0.07445378195239463,0.07914879542726548,2.52297732858438
1.5,40,Hutch++,0.007839791322792555,0.005967860011900578,2.52297732858438
1.5,40,Gaussian-Hutch++,0.008137522079346253,0.007448832777336583,2.52297732858438
1.5,40,NA-Hutch++,0.01190062815765436,0.013511901920207119,2.52297732858438
1.5,80,Hutchinson,0.05777880620900955,0.05588835620182458,2.52297732858438
1.5,80,Hutch++,0.00241043249490525,0.004261463028092056,2.52297732858438
1.5,80,Gaussian-Hutch++,0.0028327615385522337,0.0031030981375262333,2.52297732858438
1.5,80,NA-Hutch++,0.004587879735904476,0.004488300962494278,2.52297732858438
1.5,160,Hutchinson,0.036335016760784766,0.04021322641899795,2.52297732858438
1.5,160,Hutch++,0.0012689977963755072,0.0009674675787918035,2.52297732858438
1.5,160,Gaussian-Hutch++,0.0006596216562642409,0.0011637334502825152,2.52297732858438
1.5,160,NA-Hutch++,0.0023072654918227108,0.002414929945583089,2.52297732858438
1.5,320,Hutchinson,0.031136956550221497,0.03415263105220798,2.52297732858438
1.5,320,Hutch++,0.0002754037161066093,0.0003593155518801739,2.52297732858438
1.5,320,Gaussian-Hutch++,0.0002767964430033435,0.0002685492951111075,2.52297732858438
1.5,320,NA-Hutch++,0.0008711985475930921,0.0007849968717485472,2.52297732858438
2.0,20,Hutchinson,0.1262436362717213,0.15543964298380292,1.6429360655148944
2.0,20,Hutch++,0.009378719100952447,0.013580948805581802,1.6429360655148944
2.0,20,Gaussian-Hutch++,0.012792138376265843,0.012352601517587634,1.6429360655148944
2.0,20,NA-Hutch++,0.03158610654805639,0.03460811597452919,1.6429360655148944
2.0,40,Hutchinson,0.09081749716075484,0.11415158165220478,1.6429360655148944
2.0,40,Hutch++,0.002633576159550278,0.002853028578577035,1.6429360655148944
2.0,40,Gaussian-Hutch++,0.004710368988149164,0.004526472737032404,1.6429360655148944
2.0,40,NA-Hutch++,0.009200295641319493,0.013034111556905925,1.6429360655148944
2.0,80,Hutchinson,0.06343168392792589,0.0910332432609471,1.6429360655148944
2.0,80,Hutch++,0.0005488002284870326,0.0009000326105740033,1.6429360655148944
2.0,80,Gaussian-Hutch++,0.0010992682075402107,0.000995261634476289,1.6429360655148944
2.0,80,NA-Hutch++,0.0017925302621816604,0.002475935088165181,1.6429360655148944
2.0,160,Hutchinson,0.059331465090214655,0.06480742581105342,1.6429360655148944
2.0,160,Hutch++,0.0001846252985754673,0.0001729480062199433,1.6429360655148944
2.0,160,Gaussian-Hutch++,0.0002428277902905008,0.0001733912019485154,1.6429360655148944
2.0,160,NA-Hutch++,0.0005249223126893281,0.0006199843251478178,1.6429360655148944
2.0,320,Hutchinson,0.034592207431849625,0.04455802835547768,1.6429360655148944
2.0,320,Hutch++,3.82597853093668e-05,4.362985133508335e-05,1.6429360655148944
2.0,320,Gaussian-Hutch++,4.337235245484461e-05,6.400117970627623e-05,1.6429360655148944
2.0,320,NA-Hutch++,0.00012644124993422984,0.00014460453735722995,1.6429360655148944
