matrix_name,family,param,q,mse,rmse,rel_rmse
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,28,0.379673675908136,0.6161766596586858,0.02655933877839163
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,2,0.04985216731152135,0.22327598910657936,0.016417352140189658
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,4,0.028898985691933093,0.16999701671480325,0.012499780640794355
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,6,0.020817790714058197,0.1442837160391227,0.010609096767582551
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,8,0.010693879636270675,0.10341121620148694,0.007603765897168157
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,10,0.008710768480413016,0.09333149779368707,0.006862610131888755
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,12,0.0072289231981453,0.08502307450419151,0.006251696654719963
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,14,0.009027197018312418,0.09501156255063074,0.006986144305193436
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,16,0.017468999773502317,0.1321703437746241,0.009718407630487065
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,18,0.014047681368225462,0.11852291494991786,0.008714920216905724
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,20,0.018397462372912662,0.1356372455224326,0.009973326876649454
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,22,0.03633903503340617,0.19062800170333363,0.014016764831127472
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,24,0.03455120808947621,0.18587955263954187,0.013667614164672194
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,26,0.07841102449382108,0.2800196859040826,0.020589682787064894
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,28,0.10506923181916586,0.32414384433329263,0.023834106200977395
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,2,0.05383446732948234,0.2320225578030773,0.0391929996288982
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,4,0.009334831892218056,0.0966169337757003,0.01632042800265208
