family,m,q,mse
Exponential (alpha=0.05),160,69,0.0030941729366595378
Exponential (alpha=0.05),160,70,0.0028082848901785974
Exponential (alpha=0.05),160,71,0.0028649871224922696
Exponential (alpha=0.05),160,72,0.0030751205366578906
Exponential (alpha=0.05),160,73,0.0029268592712269805
Exponential (alpha=0.05),160,74,0.0034084162475373652
Exponential (alpha=0.05),160,75,0.002937106148589172
Exponential (alpha=0.05),160,76,0.003944611541582607
Exponential (alpha=0.05),160,77,0.004955452880355757
Exponential (alpha=0.05),160,78,0.006081858203195354
Exponential (alpha=0.05),160,79,0.009598787631890432
"Step (r=20, eta=0.01)",160,10,0.14994068181285022
"Step (r=20, eta=0.01)",160,11,0.1117229900353103
"Step (r=20, eta=0.01)",160,12,0.12405040821340726
"Step (r=20, eta=0.01)",160,13,0.08695136330472245
"Step (r=20, eta=0.01)",160,14,0.0988490680392568
"Step (r=20, eta=0.01)",160,15,0.07414220506183282
"Step (r=20, eta=0.01)",160,16,0.055096606263762525
"Step (r=20, eta=0.01)",160,17,0.048019263173194354
"Step (r=20, eta=0.01)",160,18,0.025908097618339135
"Step (r=20, eta=0.01)",160,19,0.01982078442894126
"Step (r=20, eta=0.01)",160,20,0.01364780724144945
"Step (r=20, eta=0.01)",160,21,0.005288664392846394
"Step (r=20, eta=0.01)",160,22,0.0027847558248555388
"Step (r=20, eta=0.01)",160,23,0.0009223716192121625
"Step (r=20, eta=0.01)",160,24,0.0005015622254782652
"Step (r=20, eta=0.01)",160,25,0.0002944083608662092
"Step (r=20, eta=0.01)",160,26,0.00020848056576385865
"Step (r=20, eta=0.01)",160,27,0.00015622373698552923
"Step (r=20, eta=0.01)",160,28,0.00011943785548480489
"Step (r=20, eta=0.01)",160,29,9.471060978416376e-05
"Step (r=20, eta=0.01)",160,30,8.973585070028328e-05
"Step (r=20, eta=0.01)",160,31,0.00010691121699633519
"Step (r=20, eta=0.01)",160,32,8.475447175941881e-05
"Step (r=20, eta=0.01)",160,33,8.544482543649852e-05
"Step (r=20, eta=0.01)",160,34,9.908129674484329e-05
"Step (r=20, eta=0.01)",160,35,8.136923217123993e-05
"Step (r=20, eta=0.01)",160,36,0.00010269049797025576
"Step (r=20, eta=0.01)",160,37,0.00010088170305961541
"Step (r=20, eta=0.01)",160,38,9.46286900753566e-05
"Step (r=20, eta=0.01)",160,39,9.646146693588618e-05
"Step (r=20, eta=0.01)",160,40,9.589835861328048e-05
"Step (r=20, eta=0.01)",160,41,8.661183117347145e-05
"Step (r=20, eta=0.01)",160,42,9.074125437168426e-05
"Step (r=20, eta=0.01)",160,43,0.0001100525172573926
"Step (r=20, eta=0.01)",160,44,0.00013884868235944608
"Step (r=20, eta=0.01)",160,45,0.00010946999264828284
"Step (r=20, eta=0.01)",160,46,0.00012515778312127687
"Step (r=20, eta=0.01)",160,47,0.0001331252244945854
"Step (r=20, eta=0.01)",160,48,0.0001291104398117783
"Step (r=20, eta=0.01)",160,49,0.00014536269751461641
"Step (r=20, eta=0.01)",160,50,0.00015287537862442173
"Step (r=20, eta=0.01)",160,51,0.00014967753973252302
"Step (r=20, eta=0.01)",160,52,0.0001556650931803627
