setup_index,spectrum_family,setup_name,method,delta_q_category,observations,mse,median_relative_error,mean_delta_q_raw,mean_delta_q_safe,guard_activation_rate
11,step,step_r_5_eta_0.1,"Sequential Symmetric Guard [-4,+4]",zero,3,0.015072670516843323,0.0014768713547695838,0.0,0.0,0.0
11,step,step_r_5_eta_0.1,"Sequential Asymmetric Guard [0,+4]",negative,197,0.01833553259353195,0.0016833065793915095,-6.532994923857868,0.0,1.0
11,step,step_r_5_eta_0.1,"Sequential Asymmetric Guard [0,+4]",zero,3,0.015072670516843323,0.0014768713547695838,0.0,0.0,0.0
12,step,step_r_15_eta_0.001,Sequential Forced Baseline (q=q0),positive,200,1.5873755396381162e-06,5.6477681595113623e-05,13.0,0.0,1.0
12,step,step_r_15_eta_0.001,Sequential Unguarded (B<=q0),positive,200,3.6001824970308614e-06,8.527530100841375e-05,13.0,13.0,0.0
12,step,step_r_15_eta_0.001,"Sequential Symmetric Guard [-4,+4]",positive,200,2.35166334942492e-06,6.850656146072792e-05,13.0,4.0,1.0
12,step,step_r_15_eta_0.001,"Sequential Asymmetric Guard [0,+4]",positive,200,2.35166334942492e-06,6.850656146072792e-05,13.0,4.0,1.0
13,step,step_r_15_eta_0.05,Sequential Forced Baseline (q=q0),negative,200,0.005439107630567257,0.0012983038470704262,-1.1,0.0,1.0
13,step,step_r_15_eta_0.05,Sequential Unguarded (B<=q0),negative,200,0.005593620332392921,0.0013455186114975674,-1.1,-1.1,0.0
13,step,step_r_15_eta_0.05,"Sequential Symmetric Guard [-4,+4]",negative,200,0.005593620332392921,0.0013455186114975674,-1.1,-1.1,0.0
13,step,step_r_15_eta_0.05,"Sequential Asymmetric Guard [0,+4]",negative,200,0.005439107630567257,0.0012983038470704262,-1.1,0.0,1.0
14,step,step_r_15_eta_0.1,Sequential Forced Baseline (q=q0),positive,198,0.019235809535632923,0.0016207945733658607,8.0,0.0,1.0
14,step,step_r_15_eta_0.1,Sequential Forced Baseline (q=q0),negative,2,0.009326168038191654,0.001482553637931065,-16.5,0.0,1.0
14,step,step_r_15_eta_0.1,Sequential Unguarded (B<=q0),positive,198,0.036068445199090964,0.0020427537255239114,8.0,8.0,0.0
14,step,step_r_15_eta_0.1,Sequential Unguarded (B<=q0),negative,2,0.001477559330926585,0.0005131213615371501,-16.5,-16.5,0.0
14,step,step_r_15_eta_0.1,"Sequential Symmetric Guard [-4,+4]",positive,198,0.028366332763758894,0.0017879571500805257,8.0,4.0,1.0
14,step,step_r_15_eta_0.1,"Sequential Symmetric Guard [-4,+4]",negative,2,0.0527742530098264,0.003580767159469476,-16.5,-4.0,1.0
14,step,step_r_15_eta_0.1,"Sequential Asymmetric Guard [0,+4]",positive,198,0.028366332763758894,0.0017879571500805257,8.0,4.0,1.0
14,step,step_r_15_eta_0.1,"Sequential Asymmetric Guard [0,+4]",negative,2,0.009326168038191654,0.001482553637931065,-16.5,0.0,1.0
