setup_index,spectrum_family,setup_name,matrix_seed,q,mean_oracle_risk,se_oracle_risk,additive_regret_oracle,baseline_normalized_additive_regret_oracle,multiplicative_regret_oracle,minimum_q_smallest_oracle,minimum_q_largest_oracle,minimum_q_count_oracle,minimum_is_zero_oracle,minimum_is_plateau_oracle,mean_gaussian_risk,se_gaussian_risk,additive_regret_gaussian,baseline_normalized_additive_regret_gaussian,multiplicative_regret_gaussian,minimum_q_smallest_gaussian,minimum_q_largest_gaussian,minimum_q_count_gaussian,minimum_is_zero_gaussian,minimum_is_plateau_gaussian,mean_rademacher_risk,se_rademacher_risk,additive_regret_rademacher,baseline_normalized_additive_regret_rademacher,multiplicative_regret_rademacher,minimum_q_smallest_rademacher,minimum_q_largest_rademacher,minimum_q_count_rademacher,minimum_is_zero_rademacher,minimum_is_plateau_rademacher
18,step,step_r_30_eta_0.001,42018,36,1.054545454545465e-05,2.401782945325563e-22,1.1454545454545544e-06,3.0544976007497338e-06,0.12185686653771732,30,30,1,False,False,1.0702810174453797e-05,5.3475581393647824e-09,1.47620558126719e-07,3.9364865450899647e-07,0.013985590358166045,35,35,1,False,False,8.029236421627081e-07,3.323004157285504e-09,0.0,0.0,0.0,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,37,1.0767441860465225e-05,1.2008914726627814e-22,1.3674418604651283e-06,3.646454500119841e-06,0.14547253834735252,30,30,1,False,False,1.0896192020769086e-05,3.4271982590104356e-09,3.4100240444200766e-07,9.093254990792011e-07,0.03230661095036469,35,35,1,False,False,8.262622626816987e-07,1.8161457386703694e-09,2.3338620518990606e-08,6.660377489152847e-08,0.02906704858774245,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,38,1.100000000000011e-05,1.2008914726627814e-22,1.6000000000000135e-06,4.266599823269472e-06,0.1702127659574464,30,30,1,False,False,1.110749953694973e-05,2.7782221894269847e-09,5.523099206226524e-07,1.472803381074102e-06,0.05232591177408352,35,35,1,False,False,8.563215581660765e-07,1.435027426695772e-09,5.3397916003368384e-08,1.5238701765904164e-07,0.06650435134720767,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,39,1.1243902439024506e-05,1.2008914726627814e-22,1.8439024390244101e-06,4.916996137792269e-06,0.19615983393876513,30,30,1,False,False,1.1338980732056898e-05,2.3835440642398016e-09,7.837911157298198e-07,2.0900768974081255e-06,0.07425646949226072,35,35,1,False,False,8.926191684394288e-07,1.2005378045763968e-09,8.969552627672073e-08,2.559731684248775e-07,0.11171115354770489,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,40,1.1500000000000115e-05,0.0,2.100000000000019e-06,5.599912268041186e-06,0.22340425531914865,30,30,1,False,False,1.1584289549546159e-05,1.5571167341779774e-09,1.0290999332190805e-06,2.7442234957494464e-06,0.09749705790479002,35,35,1,False,False,9.315289922599328e-07,6.328809627245329e-10,1.2860535009722472e-07,3.6701405641142947e-07,0.16017133304335252,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,41,1.1769230769230889e-05,0.0,2.369230769230792e-06,6.31784973830288e-06,0.2520458265139114,30,30,1,False,False,1.1845761206933738e-05,1.1309614132343553e-09,1.2905715906066599e-06,3.4414703252493286e-06,0.12226891581467814,35,35,1,False,False,9.740159578365912e-07,3.7315903413823696e-10,1.7109231567388312e-07,4.882633945541563e-07,0.21308665816968464,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,42,1.2052631578947489e-05,1.2008914726627814e-22,2.6526315789473926e-06,7.073573391209919e-06,0.2821948488241879,30,30,1,False,False,1.2122796560217577e-05,9.502248193942327e-10,1.5676069438904988e-06,4.180219693599462e-06,0.14851528024334848,35,35,1,False,False,1.0194624762223004e-06,2.81815178155046e-10,2.1653883405959227e-07,6.17958706995716e-07,0.26968795373410104,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,43,1.235135135135148e-05,2.401782945325563e-22,2.9513513513513836e-06,7.870146971301141e-06,0.31397354801610144,30,30,1,False,False,1.2416731151844253e-05,8.344325695429746e-10,1.861541535517175e-06,4.96403299152893e-06,0.17636268065120198,35,35,1,False,False,1.0679603765960705e-06,2.392121759882121e-10,2.6503673443336234e-07,7.563620559245009e-07,0.3300895882446242,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,44,1.2666666666666794e-05,0.0,3.2666666666666975e-06,8.710974639175181e-06,0.3475177304964536,30,30,1,False,False,1.2728214324759296e-05,7.429430981536801e-10,2.1730247084322177e-06,5.794641773098132e-06,0.2058726358710714,35,35,1,False,False,1.1193639571362273e-06,2.0500129721043003e-10,3.164403149735192e-07,9.030576373591157e-07,0.3941100975943044,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,45,1.300000000000013e-05,0.0,3.6000000000000333e-06,9.59984960235632e-06,0.382978723404255,30,30,1,False,False,1.3058087431320738e-05,6.743375033506734e-10,2.5028978149936595e-06,6.674289609445874e-06,0.23712485573182907,35,35,1,False,False,1.1737933567738416e-06,1.8586231621056227e-10,3.708697146111335e-07,1.0583883038822241e-06,0.46189910862778993,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,46,1.3352941176470722e-05,0.0,3.952941176470625e-06,1.0541011328077529e-05,0.4205256570713387,30,30,1,False,False,1.340836670305901e-05,6.290131342557695e-10,2.8531770867319323e-06,7.608353033754286e-06,0.27031035826382066,35,35,1,False,False,1.231577281500738e-06,1.7353043171320786e-10,4.2865363933802987e-07,1.223292116930112e-06,0.5338660077108124,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,47,1.3727272727272863e-05,1.2008914726627814e-22,4.3272727272727665e-06,1.1539213158387899e-05,0.46034816247582144,30,30,1,False,False,1.378063023304838e-05,5.281906641289811e-10,3.2254406167213015e-06,8.601040228293223e-06,0.305578652204608,35,35,1,False,False,1.2928766377406871e-06,1.257341654330741e-10,4.89952995577979e-07,1.3982282713904428e-06,0.6102111954983294,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,48,1.412500000000014e-05,0.0,4.725000000000044e-06,1.259980260309267e-05,0.5026595744680846,30,30,1,False,False,1.4176579353533114e-05,4.742549748150392e-10,3.621389737206036e-06,9.656888007970632e-06,0.34309092198631497,35,35,1,False,False,1.358010087462138e-06,1.064388796373467e-10,5.550864452994299e-07,1.5841061650571343e-06,0.6913315490427976,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,49,1.454838709677434e-05,1.2008914726627814e-22,5.1483870967742435e-06,1.3728817173262271e-05,0.5477007549759778,30,30,1,False,False,1.4598490756399323e-05,4.50040456573652e-10,4.0433011400722445e-06,1.0781967456035835e-05,0.38306286168634496,35,35,1,False,False,1.4273265247458281e-06,9.772295174471693e-11,6.2440288258312e-07,1.7819214721516138e-06,0.7776615979338521,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,50,1.5000000000000148e-05,0.0,5.600000000000051e-06,1.4933099381443165e-05,0.5957446808510631,30,30,1,False,False,1.5048708867218726e-05,3.9713867657907944e-10,4.4935192508916474e-06,1.1982530276070062e-05,0.4257165824800475,35,35,1,False,False,1.5011539915736708e-06,8.111455419556931e-11,6.982303494109627e-07,1.9926103591581235e-06,0.8696099015471139,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,51,1.5482758620689805e-05,2.401782945325563e-22,6.082758620689708e-06,1.6220435535015842e-05,0.6471019809244305,30,30,1,False,False,1.553035945585106e-05,3.563283976933839e-10,4.975169839523981e-06,1.326691172378027e-05,0.4713482201994972,35,35,1,False,False,1.5800128689011653e-06,6.89367760475527e-11,7.770892267384572e-07,2.217657889685702e-06,0.9678245675333899,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,52,1.6000000000000152e-05,2.401782945325563e-22,6.600000000000055e-06,1.759972427098657e-05,0.7021276595744668,30,30,1,False,False,1.604675867526709e-05,3.362015747841441e-10,5.49156905894001e-06,1.4643954735215835e-05,0.5202719475968001,35,35,1,False,False,1.6644205723482192e-06,6.271104728407097e-11,8.614969301855111e-07,2.4585406648661784e-06,1.0729500103708909,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,53,1.6555555555555715e-05,2.401782945325563e-22,7.1555555555556184e-06,1.9081182542955146e-05,0.7612293144208027,30,30,1,False,False,1.6601589780092127e-05,3.125600650813705e-10,6.046400163765049e-06,1.6123481168835144e-05,0.5728367166812711,35,35,1,False,False,1.7549669599883837e-06,5.7495760197440765e-11,9.520433178256756e-07,2.7169420221665978e-06,1.1857208678789273,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,54,1.715384615384632e-05,0.0,7.753846153846224e-06,2.0676599143536687e-05,0.8248772504091644,30,30,1,False,False,1.7199373053053627e-05,2.9899048742376426e-10,6.644183436726549e-06,1.7717544923066993e-05,0.6294707796105463,35,35,1,False,False,1.8523823764183617e-06,5.352974567885431e-11,1.0494587342556535e-06,2.994946219612084e-06,1.3070467465983353,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,55,1.780000000000017e-05,2.401782945325563e-22,8.400000000000072e-06,2.2399649072164733e-05,0.8936170212765941,30,30,1,False,False,1.7845264427989348e-05,2.9024546414049546e-10,7.29007481166227e-06,1.943989493941199e-05,0.6906626102088935,35,35,1,False,False,1.9574827192200587e-06,5.30903699508822e-11,1.1545590770573505e-06,3.2948816664089824e-06,1.4379438049021673,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,56,1.850000000000018e-05,0.0,9.100000000000082e-06,2.426628649484514e-05,0.9680851063829776,30,30,1,False,False,1.854515458705741e-05,2.787050228216599e-10,7.989964970730333e-06,2.1306239457529376e-05,0.7569702924494337,35,35,1,False,False,2.071199666405566e-06,5.017781276160939e-11,1.268276024242858e-06,3.6194071860528032e-06,1.5795723997199835,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,57,1.9260869565217577e-05,0.0,9.86086956521748e-06,2.6295240215149914e-05,1.049028677150785,30,30,1,False,False,1.9306014478746125e-05,2.743538393716186e-10,8.750824862419047e-06,2.333516738216179e-05,0.8290542548741155,35,35,1,False,False,2.194644405682047e-06,5.0408421999049024e-11,1.391720763519339e-06,3.971693886958027e-06,1.7333164580515796,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,58,2.0090909090909284e-05,0.0,1.0690909090909188e-05,2.8508644273664216e-05,1.1373307543520297,30,30,1,False,False,2.0136113334646408e-05,2.5635040956698063e-10,9.58092371831933e-06,2.554872965208698e-05,0.9076979255303264,35,35,1,False,False,2.329130456131414e-06,4.789325550033808e-11,1.5262068139687058e-06,4.355490290986784e-06,1.9008119001924078,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,59,2.1000000000000195e-05,2.401782945325563e-22,1.1600000000000099e-05,3.0932848718703676e-05,1.2340425531914874,30,30,1,False,False,2.1045495576540504e-05,2.4974775435333793e-10,1.0490305960213426e-05,2.797371097243055e-05,0.9938529142088277,35,35,1,False,False,2.4762775640511128e-06,4.9261311811348395e-11,1.6733539218884045e-06,4.775418831486784e-06,2.084076036646718,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,60,2.200000000000021e-05,0.0,1.2600000000000113e-05,3.359947360824711e-05,1.3404255319148919,30,30,1,False,False,2.2045972406438357e-05,2.433086472362601e-10,1.1490782790111279e-05,3.064160738844764e-05,1.0886382156827383,35,35,1,False,False,2.6379746991135073e-06,4.950501033104932e-11,1.835051056950799e-06,5.236870251699798e-06,2.28546148175188,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,61,2.3105263157894954e-05,2.401782945325563e-22,1.3705263157894857e-05,3.654679585458457e-05,1.45800671892497,30,30,1,False,False,2.3151916332655688e-05,2.363727866444563e-10,1.259672671632861e-05,3.359074498853812e-05,1.193415483208717,35,35,1,False,False,2.8164965369519784e-06,4.998662962709015e-11,2.01357289478927e-06,5.746336022863968e-06,2.507801226733875,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,62,2.4333333333333563e-05,0.0,1.4933333333333467e-05,3.9821598350515094e-05,1.5886524822695014,30,30,1,False,False,2.438086699240098e-05,2.338194749137579e-10,1.3825677376073903e-05,3.68678954058357e-05,1.309846424235519,35,35,1,False,False,3.0146258061569685e-06,5.11494984091194e-11,2.2117021639942602e-06,6.311757498174152e-06,2.7545610165830325,36,36,1,False,False
18,step,step_r_30_eta_0.001,42018,63,2.5705882352941422e-05,2.401782945325563e-22,1.6305882352941326e-05,4.34816717283198e-05,1.734668335419272,30,30,1,False,False,2.5754570234810276e-05,2.3396230968166573e-10,1.5199380618483198e-05,4.0531046662890784e-05,1.43999124326221,35,35,1,False,False,3.23586508120709e-06,5.327710914615579e-11,2.4329414390443817e-06,6.943130327627079e-06,3.030103127230322,36,36,1,False,False
