step_rank,basis_trial,eta,budget,s,pair,accounting_feasible,truth_label,dangerous_error_q90,dangerous_error_q95,dangerous_error_q975,dangerous_error_q99,shifted_error_q90,shifted_error_q95,shifted_error_q975,shifted_error_q99
5,2,1e-10,240,4,primary,True,1,1.7449075065291964e-22,2.2252862489826496e-22,3.6308603167151496e-22,4.565216091215287e-22,4.810242143822697e-22,9.117285496067609e-22,1.3543013235865585e-21,2.2225515340657172e-21
5,2,1e-10,80,4,right,True,1,6.836902388601911e-22,8.91082932597393e-22,1.0492714094907243e-21,1.3994594312062233e-21,2.945584008033463e-21,3.607830700229083e-21,5.197693411937101e-21,6.062421084190532e-21
5,2,1e-10,160,4,right,True,1,2.994475531855488e-22,3.9994676771214106e-22,4.780420961213114e-22,6.1551599407972575e-22,1.3082810539568875e-21,1.6283698247761976e-21,2.35937228062395e-21,2.7689176521572498e-21
5,2,1e-10,240,4,right,True,1,1.8856171945497738e-22,2.608573862700419e-22,3.098254614330257e-22,3.9456391854736827e-22,8.44769571765484e-22,1.0497440114871868e-21,1.5263090776525016e-21,1.7943729149779957e-21
5,3,1e-10,80,4,left,True,1,0.029220178058952745,0.02959364284914197,0.029985045955960153,0.03008155507272247,0.029220178058952745,0.02959364284914197,0.029985045955960153,0.03008155507272247
5,3,1e-10,160,4,left,True,1,0.013209121588293708,0.013377948137283357,0.013554883788310755,0.013598511197258105,0.013209121588293708,0.013377948137283357,0.013554883788310755,0.013598511197258105
5,3,1e-10,240,4,left,True,1,0.008533326335800359,0.008642391274528188,0.00875669483669633,0.008784878915042845,0.008533326335800359,0.008642391274528188,0.00875669483669633,0.008784878915042845
5,3,1e-10,80,4,primary,True,1,6.33409114393499e-22,8.591474651916877e-22,9.862931465909895e-22,1.3218430719224003e-21,2.125762390286838e-21,3.378778992960312e-21,5.627015619491787e-21,5.893426896354283e-21
5,3,1e-10,160,4,primary,True,1,2.766877468595749e-22,3.7019132198665156e-22,5.863445344676147e-22,6.625049515545057e-22,9.674302156122198e-22,1.5411148629380938e-21,2.612208755589918e-21,2.766978833265984e-21
5,3,1e-10,240,4,primary,True,1,1.7811000758970732e-22,2.3529032229556936e-22,4.055981326644324e-22,4.70929986627223e-22,6.26350345612633e-22,1.0052216047583946e-21,1.7010556728680364e-21,1.8076656269686203e-21
5,3,1e-10,80,4,right,True,1,8.139534938096274e-22,9.105517780361438e-22,1.211282810040099e-21,1.3314996885649488e-21,2.6127206931062568e-21,3.6423454235334475e-21,4.305955961851296e-21,5.1504709486680655e-21
5,3,1e-10,160,4,right,True,1,3.4533092890568603e-22,4.0925060133900855e-22,5.670191300583146e-22,5.976208623695337e-22,1.154332531056341e-21,1.6335581249011747e-21,1.972302396987956e-21,2.3490455638851635e-21
5,3,1e-10,240,4,right,True,1,2.205288446396652e-22,2.6379582264761037e-22,3.698679178160537e-22,3.892332085623138e-22,7.40945047084403e-22,1.0531370870916144e-21,1.2791588433505748e-21,1.5216670148102694e-21
5,4,1e-10,80,4,left,True,1,0.02915166046219371,0.029543573138189123,0.02984240286532798,0.03000459726706993,0.02915166046219371,0.029543573138189123,0.02984240286532798,0.03000459726706993
5,4,1e-10,160,4,left,True,1,0.013178147880169758,0.013355313884386865,0.013490401295285252,0.01356372205223709,0.013178147880169758,0.013355313884386865,0.013490401295285252,0.01356372205223709
5,4,1e-10,240,4,left,True,1,0.008513316772145065,0.008627769146550807,0.00871503800491879,0.00876240451162219,0.008513316772145065,0.008627769146550807,0.00871503800491879,0.00876240451162219
5,4,1e-10,80,4,primary,True,1,7.334176410205016e-22,8.775286953340548e-22,1.0430227262072527e-21,1.3146368144339308e-21,2.418038030433962e-21,3.156138882687e-21,3.534856565893433e-21,6.0679894637159254e-21
5,4,1e-10,160,4,primary,True,1,3.3579179829916594e-22,3.915925590368138e-22,4.724704335611491e-22,6.12774421726308e-22,1.1021204161407706e-21,1.4630164100756823e-21,1.6234737634436188e-21,2.8129450781389364e-21
5,4,1e-10,240,4,primary,True,1,2.2470244097140634e-22,2.5230956002558705e-22,3.091442016074192e-22,3.995008169625871e-22,7.13537079979074e-22,9.491888206823096e-22,1.0539190443626116e-21,1.8310293978679098e-21
5,4,1e-10,80,4,right,True,1,7.366824176785088e-22,9.849334175337481e-22,1.3114807776501118e-21,1.6959183561534056e-21,3.0455411476451524e-21,4.221842981965725e-21,5.789451233222283e-21,7.342290126130365e-21
5,4,1e-10,160,4,right,True,1,3.05400496968244e-22,4.494258595671211e-22,6.469050134653818e-22,8.040778725881215e-22,1.3688738903423667e-21,1.9232826095684284e-21,2.657642049655503e-21,3.3711990279767478e-21
5,4,1e-10,240,4,right,True,1,1.9909191886050735e-22,2.9064871848813267e-22,4.1576266105311455e-22,5.38863050264406e-22,8.830509301485377e-22,1.2454584446304077e-21,1.7282931485676652e-21,2.188688013942009e-21
5,5,1e-10,80,4,left,True,1,0.02911497019713871,0.02969323480960642,0.02987352553242793,0.029989320177012377,0.02911497019713871,0.02969323480960642,0.02987352553242793,0.029989320177012377
5,5,1e-10,160,4,left,True,1,0.013161561869939418,0.01342296916050701,0.013504470446166051,0.013556815970430252,0.013161561869939418,0.01342296916050701,0.013504470446166051,0.013556815970430252
5,5,1e-10,240,4,left,True,1,0.00850260191597856,0.008671475652362936,0.008724126925399306,0.008757943060543437,0.00850260191597856,0.008671475652362936,0.008724126925399306,0.008757943060543437
5,5,1e-10,80,4,primary,True,1,6.425042206415351e-22,8.613889796761918e-22,1.0462606491555197e-21,1.3175014449367568e-21,2.471968629537242e-21,3.7233010549009216e-21,4.862350319199796e-21,5.618852277351875e-21
5,5,1e-10,160,4,primary,True,1,2.8881622278670226e-22,3.726010369187212e-22,4.7973691298980015e-22,6.444870188917175e-22,1.1480235441511906e-21,1.7005891764702575e-21,2.285046567243997e-21,2.6693098628087218e-21
5,5,1e-10,240,4,primary,True,1,1.858660785088028e-22,2.450711199064606e-22,3.1124298817736165e-22,4.258430268401692e-22,7.490822364159849e-22,1.1021945593470302e-21,1.4932197646530587e-21,1.7504632307376024e-21
5,5,1e-10,80,4,right,True,1,9.019676821411204e-22,1.0205685896689211e-21,1.2993402775637239e-21,1.3603785589330193e-21,3.3391258025739814e-21,5.151108026948933e-21,7.311179396231181e-21,8.288002792425582e-21
5,5,1e-10,160,4,right,True,1,4.005278003021252e-22,4.857371872395878e-22,6.022204902794431e-22,6.834180852220689e-22,1.4873896025187528e-21,2.322513899250621e-21,3.3330463738675467e-21,3.7930593992825e-21
5,5,1e-10,240,4,right,True,1,2.587533251923143e-22,3.199612949351115e-22,3.942513277466423e-22,4.575574158241379e-22,9.570136990164436e-22,1.4993724174675047e-21,2.1588168336472664e-21,2.459452601900106e-21
5,6,1e-10,80,4,left,True,1,0.029026237176545625,0.02957182260873515,0.029882495717082732,0.03005779412287062,0.029026237176545625,0.02957182260873515,0.029882495717082732,0.03005779412287062
5,6,1e-10,160,4,left,True,1,0.013121449682548024,0.013368084192989864,0.013508525461146987,0.013587769945955211,0.013121449682548024,0.013368084192989864,0.013508525461146987,0.013587769945955211
5,6,1e-10,240,4,left,True,1,0.008476688732973501,0.008636018991931504,0.00872674653684717,0.008777939876590536,0.008476688732973501,0.008636018991931504,0.00872674653684717,0.008777939876590536
5,6,1e-10,80,4,primary,True,1,6.534043659092346e-22,9.07256129809357e-22,1.2311854956596556e-21,1.5961009062317269e-21,2.2234926482070744e-21,2.9095531353416365e-21,3.892162236296406e-21,5.3668503524966505e-21
