rank_index,step_rank,basis_trial,eta,budget,action,q,r_actual,ell,orientation_seed,basis_seed,reconstruction_query_count,exact_sigma2,exact_rademacher_energy,exact_gaussian_energy,exact_risk,frozen_rademacher_energy,frozen_risk,frozen_energy_abs_error,frozen_risk_abs_error,projector_error_op,orthogonality_error
0,5,0,1e-10,240,kp1,6,6,228,52000,70000,12,1.1822050474238205e-19,5.911025237119102e-20,4.940000004788861e-18,5.18510985712202e-22,5.911025237119102e-20,5.18510985712202e-22,0.0,0.0,9.90500654277639e-16,4.505798412206529e-16
0,5,0,1e-10,240,kp2,7,7,226,52000,70000,14,1.3762188001117944e-19,6.881094000558972e-20,4.930000002570885e-18,6.089463717308825e-22,6.881094000558972e-20,6.089463717308826e-22,0.0,9.4039548065783e-38,1.6293595034975263e-15,4.506064726308355e-16
0,5,0,1e-06,80,km1,4,4,72,52000,70000,8,1.9889889139582255,0.9944944569791128,1.000000000495018,0.027624846027197576,0.9944944569791128,0.0276248460271975,0.0,7.632783294297951e-17,7.865336017829543e-16,4.501301972343949e-16
0,5,0,1e-06,80,k,5,5,70,52000,70000,10,1.0254527131039186e-11,5.127263565519593e-12,4.960504304194565e-10,1.4649324472913122e-13,5.127263565519593e-12,1.4649324472913122e-13,0.0,0.0,5.072270844555322e-16,4.509056917224167e-16
0,5,0,1e-06,80,kp1,6,6,68,52000,70000,12,1.1822174525843257e-11,5.911087262921629e-12,4.940047925498883e-10,1.738555077329891e-13,5.911087262921629e-12,1.7385550773298912e-13,0.0,2.524354896707238e-29,1.0840790738513048e-15,4.52138692663954e-16
0,5,0,1e-06,80,kp2,7,7,66,52000,70000,14,1.3762257714069315e-11,6.881128857034658e-12,4.93002571646224e-10,2.085190562737775e-13,6.881128857034658e-12,2.0851905627377752e-13,0.0,2.524354896707238e-29,1.134546833552357e-15,4.532113001180454e-16
0,5,0,1e-06,160,km1,4,4,152,52000,70000,8,1.9889889139582255,0.9944944569791128,1.000000000495018,0.013085453381304115,0.9944944569791128,0.0130854533813041,0.0,1.5612511283791264e-17,7.865336017829543e-16,4.501301972343949e-16
0,5,0,1e-06,160,k,5,5,150,52000,70000,10,1.0254527131039186e-11,5.127263565519593e-12,4.960504304194565e-10,6.83635142069279e-14,5.127263565519593e-12,6.83635142069279e-14,0.0,0.0,5.072270844555322e-16,4.509056917224167e-16
0,5,0,1e-06,160,kp1,6,6,148,52000,70000,12,1.1822174525843257e-11,5.911087262921629e-12,4.940047925498883e-10,7.987955760704903e-14,5.911087262921629e-12,7.987955760704903e-14,0.0,0.0,1.0840790738513048e-15,4.52138692663954e-16
0,5,0,1e-06,160,kp2,7,7,146,52000,70000,14,1.3762257714069315e-11,6.881128857034658e-12,4.93002571646224e-10,9.426203913746107e-14,6.881128857034658e-12,9.426203913746108e-14,0.0,1.262177448353619e-29,1.134546833552357e-15,4.532113001180454e-16
0,5,0,1e-06,240,km1,4,4,232,52000,70000,8,1.9889889139582255,0.9944944569791128,1.000000000495018,0.008573228077406144,0.9944944569791128,0.0085732280774061,0.0,4.5102810375396984e-17,7.865336017829543e-16,4.501301972343949e-16
0,5,0,1e-06,240,k,5,5,230,52000,70000,10,1.0254527131039186e-11,5.127263565519593e-12,4.960504304194565e-10,4.458490056973559e-14,5.127263565519593e-12,4.4584900569735597e-14,0.0,6.310887241768095e-30,5.072270844555322e-16,4.509056917224167e-16
0,5,0,1e-06,240,kp1,6,6,228,52000,70000,12,1.1822174525843257e-11,5.911087262921629e-12,4.940047925498883e-10,5.185164265720727e-14,5.911087262921629e-12,5.1851642657207274e-14,0.0,6.310887241768095e-30,1.0840790738513048e-15,4.52138692663954e-16
