matrix_name,family,param,trial,gamma_gap,tau_ratio,gap_loc,kappa,decay_slope,top4_energy
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,45,0.21659342444319235,1.241839098060804,2,1.4697629793773688,-0.21714853725665237,0.5599020181435505
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,46,0.15027184332652344,1.1621501225466602,2,1.377894513841765,-0.17787188128453435,0.5476413250748448
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,47,0.1154922119546069,1.122425773011369,3,1.410630712336488,-0.18996213887796237,0.5521354584693507
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,48,0.1938391673089112,1.2139010322855706,1,1.5566036927337443,-0.22043895670370256,0.5554581272660687
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,49,0.18065439797847627,1.1980010761461752,3,1.3717757229588845,-0.17637711222245872,0.5483809806275342
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,0,0.5944292932360096,1.8119965311381026,4,4.0867570142509635,-0.8051896672997082,0.7474334491425265
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,1,0.7867138903520943,2.196167707687323,3,4.28217210950417,-0.8759563617800801,0.7615702655514013
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,2,0.6227901938708912,1.8641220542562313,4,4.330721009149949,-0.8716297721531895,0.766650357715559
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,3,0.6394210044030995,1.8953831430491237,4,4.181848017390349,-0.8309394707576951,0.7515626356312363
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,4,0.9834340963206673,2.6736219702958044,4,4.480045805403487,-0.8916519358628351,0.7869953673338347
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,5,1.0946046391062176,2.988001111045119,4,3.9582030111221624,-0.8256489166251703,0.7769348280996312
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,6,1.1310848039562966,3.099016502685914,4,4.318288358137877,-0.8867397752540461,0.7927554334964774
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,7,0.7804846191046471,2.1825297048412775,4,3.9746631971899076,-0.8077969632080161,0.7563808806631264
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,8,0.5463570273044431,1.7269503117124256,3,3.995800950728083,-0.8345407613542525,0.7570219383865351
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,9,0.740712252670709,2.097428881926535,4,4.190791005448687,-0.8365703393260203,0.7595964361583629
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,10,0.8466691075856807,2.3318667045848973,4,4.259467112652638,-0.8507326152397293,0.768006729764852
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,11,0.9850572512633732,2.6779651969231337,4,4.47305041184009,-0.8764863049305814,0.7795727302688511
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,12,0.6627694731632405,1.9401581166138988,4,4.1233814764768075,-0.8371032266968048,0.7614809423587815
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,13,0.7097224471172994,2.0334267968471487,4,4.39581280370533,-0.8652581697767221,0.7696513929844112
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,14,0.7404129422694291,2.09680119358774,4,4.406196124569472,-0.8829813899765764,0.7751322504957646
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,15,0.8777439659420136,2.4054667653235464,4,4.314818302545617,-0.8705265506109506,0.7794517961380335
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,16,0.5354418517442312,1.708202847937878,4,4.193202595715086,-0.8226104288173647,0.7450049845705767
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,17,0.854414832030446,2.3499988341050786,4,4.296004243185462,-0.8140322927772659,0.7586788563772411
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,18,0.7847537315080901,2.191867086459546,4,4.431771336174232,-0.8719080302665616,0.7730091597763799
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,19,0.7964201642179922,2.2175881008439235,4,4.10919752724693,-0.8365486052782566,0.7606537036333024
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,20,0.7079977143871409,2.029922701778609,3,4.248792193541157,-0.8583265196540135,0.7560605087127872
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,21,0.7753507928600417,2.1713536889711302,4,4.554123743158683,-0.9159197435093905,0.7832430742728025
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,22,0.7810868373054387,2.183844459798249,4,4.345949355650726,-0.8533810691350778,0.765799879797322
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,23,1.0617781131956552,2.8915078492173336,4,4.378084031986706,-0.8821291682981236,0.7860092049644062
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,24,0.6208793898169607,1.8605634832266582,4,4.128237467904656,-0.8233588623452011,0.7534633690839597
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,25,0.9465235607729607,2.5767362037005044,4,4.2874891768029695,-0.8641710349640148,0.7786919548495156
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,26,0.685140067159291,1.9840497162833741,4,4.339993775375218,-0.8580661286330049,0.7641183080950729
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,27,1.0727186596556657,2.923316208320502,4,4.3540509920300865,-0.8690780609458009,0.7836657048793408
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,28,0.7906303344257829,2.204785740697413,4,4.161125097442625,-0.8551738689479116,0.7696991000597109
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,29,0.7249672825316926,2.0646635482972258,3,4.231468913227552,-0.8449357533808229,0.7552274761851201
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,30,0.7605492205820971,2.139450928364665,4,4.229011142993662,-0.8567586130689144,0.7680301846818527
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,31,0.8033511852629512,2.233011639330544,4,4.158657653453002,-0.8555306077570428,0.7717345329886397
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,32,0.5636390143541539,1.7570548283025915,4,4.333232974457611,-0.8706987471554901,0.7632432273992316
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,33,0.5866049056953109,1.7978740898321148,4,3.9517540691456605,-0.808706903524185,0.7471684048581698
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,34,0.9925788412868525,2.698183695539723,4,4.1253430866680265,-0.8430207995148136,0.7754063714743414
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,35,0.6821073438098738,1.9780417572260598,4,4.32813529612429,-0.8914566300018317,0.7795256740646741
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,36,1.0961184014120202,2.9925276596917003,4,4.189948155759359,-0.8703648970459681,0.7885592281986681
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,37,0.7456175856425994,2.107742744761705,4,4.277773450489237,-0.8747847782060222,0.7729235837222516
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,38,1.0589982999038776,2.883481158783939,4,4.243117133092287,-0.8571783909094048,0.7816557901226258
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,39,1.0628042611400064,2.8944764869231303,4,4.523866309624446,-0.8780073966739226,0.7808026840002726
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,40,0.5128612749727959,1.6700628742522552,4,4.310630168064505,-0.8684018460465099,0.7601857248035105
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,41,0.9873430070829394,2.6840933725449965,4,4.21126622515935,-0.8552000432149764,0.7758010181556528
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,42,0.825021977364548,2.281930915605822,4,4.541683675157022,-0.9093594365789137,0.7851769552538435
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,43,0.6946984423175373,2.003104931173033,3,4.16348614170909,-0.840066575301578,0.7533558311955333
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,44,0.7580001165225473,2.1340041904182456,3,4.154277034370607,-0.8524103470653157,0.7551582652004207
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,45,0.7069648727274751,2.02782719539574,4,4.489215373232265,-0.870864350567763,0.7675078592167425
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,46,0.9000530261966525,2.4597335380131984,4,4.4543114892366695,-0.8903491868227085,0.7818318660715101
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,47,0.8846733887123268,2.422193146655215,4,4.293554235133882,-0.8629317256064595,0.7712950404376251
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,48,0.7192492565230482,2.0528914371227844,4,4.347884265136564,-0.8878291326919333,0.7796605922544815
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,49,0.6125267498959742,1.8450875886634333,3,4.368205490080044,-0.8689886868065944,0.7678718056620651
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,0,2.073788671157959,7.954904615095964,4,9.394455567115703,-1.368542750408092,0.8982090469204104
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,1,2.0115420444734555,7.474834992666632,4,9.725011258767957,-1.3941229936165258,0.8999414243250877
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,2,1.8745739991957844,6.518041837745016,4,9.41989528152119,-1.366396745557516,0.8914797183393542
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,3,1.8617419659671148,6.434936454167685,4,9.641220720997296,-1.3900334193393096,0.8966119943127712
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,4,1.9780328817084971,7.228509656864188,4,9.40222133622379,-1.3628500929662923,0.8946136823683075
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,5,1.4263747142641008,4.163577639883105,4,9.487187449525608,-1.3784576230323642,0.8848723477528971
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,6,1.8750300743185306,6.521015232470373,4,9.514544905125948,-1.3792631495108023,0.8947721781391749
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,7,2.0235038492718376,7.564784415940305,4,9.642964395124357,-1.3761325651958205,0.8970678512240209
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,8,1.8204441805344738,6.174600478201238,4,9.615798314000468,-1.383661660620427,0.8938349130127464
