eta,budget,s,pair,step_rank,scope,eligible_paths,true_better_paths,true_worse_paths,truth_tie_paths,covariance_contribution,pairing_variance_ratio,shifted_variance_ratio,dangerous_error_q95,dangerous_error_q99,zero_radius_accept_probability,batch_pairing_ratio_std
1e-10,160,32,primary,15,rank,200,0,200,0,0.8871214392877357,0.11287856071226425,0.9938329447341759,5.17997063512908e-22,6.52413277133198e-22,0.00065,0.021293187706856256
1e-10,160,32,primary,30,rank,200,0,200,0,0.8800749210517812,0.11992507894821887,1.0000730404808804,1.3862484103751765e-21,1.7673636884840826e-21,0.0,0.014868707517927396
1e-10,160,32,right,5,rank,200,0,200,0,0.823928705425463,0.17607129457453705,1.0041161497383717,2.519010594432147e-22,3.0949618750838177e-22,0.000275,0.04442061463453329
1e-10,160,32,right,15,rank,200,0,200,0,0.888006173513366,0.11199382648663399,1.0009945009081407,5.574834970610086e-22,7.038625931596915e-22,0.000125,0.0207862218290025
1e-10,160,32,right,30,rank,200,0,200,0,0.8765117041161327,0.12348829588386748,0.9993378796076926,1.4805449250446036e-21,1.8754963351658943e-21,0.0,0.015245470401894326
1e-10,240,4,left,5,rank,200,0,200,0,1.9129080620121084e-20,1.0,1.0,0.008665448205451594,0.00876713825840709,0.0,0.0
1e-10,240,4,left,15,rank,200,0,200,0,1.9378046924459158e-20,1.0,1.0,0.009508583810539803,0.009616900589420333,0.0,0.0
1e-10,240,4,left,30,rank,200,0,200,0,1.7995926839637165e-20,1.0,1.0,0.011131658507500983,0.011257577996302191,0.0,0.0
1e-10,240,4,primary,5,rank,200,0,200,0,0.8527103911680743,0.14728960883192574,1.0002873545845568,2.6130252784859338e-22,4.1587300603044005e-22,0.3580249999999999,0.07610158132336883
1e-10,240,4,primary,15,rank,200,1,199,0,0.9387210018997356,0.06127899810026428,1.002754793984364,5.336801899064724e-22,8.907338909894074e-22,0.37565,0.03032827650445384
1e-10,240,4,primary,30,rank,200,0,200,0,0.964428230537903,0.03557176946209695,1.0001739408695802,8.734857584568204e-22,1.5248763322181443e-21,0.35879999999999995,0.016384972687775456
1e-10,240,4,right,5,rank,200,0,200,0,0.8664872122626588,0.13351278773734115,0.9996891836341706,2.926567851366292e-22,4.660697194176441e-22,0.3616,0.06659601001862651
1e-10,240,4,right,15,rank,200,0,200,0,0.9398972533909622,0.06010274660903777,1.002596146987133,5.556474865713597e-22,9.242669293747708e-22,0.37225,0.028350193229408033
1e-10,240,4,right,30,rank,200,0,200,0,0.9649019938194394,0.03509800618056069,1.0022978988517466,9.262332165464828e-22,1.6222620766014342e-21,0.35497500000000004,0.016153486422931244
1e-10,240,8,left,5,rank,200,0,200,0,1.893215351463908e-20,1.0,1.0,0.008306458372772213,0.00869086030488503,0.0,0.0
1e-10,240,8,left,15,rank,200,0,200,0,1.74727321015578e-20,1.0,1.0,0.00915560976943237,0.009563652866580447,0.0,0.0
1e-10,240,8,left,30,rank,200,0,200,0,1.7174317897047642e-20,1.0,1.0,0.01075127170776129,0.011226493410568038,0.0,0.0
1e-10,240,8,primary,5,rank,200,0,200,0,0.8538031552931806,0.14619684470681935,0.9986054858379652,1.8586228192937225e-22,2.540821799651564e-22,0.24795,0.061205695451859866
1e-10,240,8,primary,15,rank,200,0,200,0,0.9386423169196344,0.06135768308036564,1.0108309437710776,3.6847141864663974e-22,5.428956859813805e-22,0.26985,0.02519353882499469
1e-10,240,8,primary,30,rank,200,0,200,0,0.9632143477646992,0.03678565223530091,0.9950228559104924,6.164264466509723e-22,9.60698063306041e-22,0.23630000000000004,0.013292220323627282
1e-10,240,8,right,5,rank,200,0,200,0,0.867483037116094,0.13251696288390596,0.9968330221379539,2.0620618799358309e-22,2.8909356891870763e-22,0.26087499999999997,0.057186949007005126
1e-10,240,8,right,15,rank,200,0,200,0,0.9408029415748794,0.05919705842512046,1.0123251947923186,3.8429031055997823e-22,5.677366620329966e-22,0.27255,0.022108159000315628
1e-10,240,8,right,30,rank,200,0,200,0,0.9640072981489339,0.035992701851066,0.9968274003442161,6.450663484977138e-22,1.0016338911965552e-21,0.231875,0.013199657068709963
1e-10,240,16,left,5,rank,200,0,200,0,1.8454734355591235e-20,1.0,1.0,0.007672323710579892,0.00837926517487176,0.0,0.0
1e-10,240,16,left,15,rank,200,0,200,0,1.6897619867220833e-20,1.0,1.0,0.008460729009553742,0.00925761133622791,0.0,0.0
1e-10,240,16,left,30,rank,200,0,200,0,1.677246705255427e-20,1.0,1.0,0.009998381826257575,0.010939947191933341,0.0,0.0
1e-10,240,16,primary,5,rank,200,0,200,0,0.8456345673792893,0.15436543262071079,1.004054073633404,1.4749441883552004e-22,1.8622208236689207e-22,0.097025,0.0521236200404747
1e-10,240,16,primary,15,rank,200,0,200,0,0.9329893628924251,0.06701063710757497,1.0056085484818091,2.801624885622434e-22,3.824942256029525e-22,0.10625,0.021368306302965365
1e-10,240,16,primary,30,rank,200,0,200,0,0.9593693903311918,0.04063060966880812,0.9947048657430452,4.869092746065686e-22,6.746234494056909e-22,0.06722500000000001,0.011503323763771384
1e-10,240,16,right,5,rank,200,0,200,0,0.8637660956081357,0.13623390439186447,0.9978813888168251,1.621270587696863e-22,2.0654870356392348e-22,0.10415,0.04944404948161287
1e-10,240,16,right,15,rank,200,0,200,0,0.9375340559805555,0.062465944019444455,1.007466918883623,2.9367547069906654e-22,3.9458999513755007e-22,0.102425,0.01861939183316639
1e-10,240,16,right,30,rank,200,0,200,0,0.9595981266344412,0.040401873365558866,0.9930663807074177,5.014814492541366e-22,7.053847146030528e-22,0.06342500000000001,0.012460075859083769
1e-10,240,32,left,5,rank,200,0,200,0,1.6582676402232887e-20,1.0,1.0,0.006961301771424498,0.007956773560068749,0.0,0.0
1e-10,240,32,left,15,rank,200,0,200,0,1.4852774914948162e-20,1.0,1.0,0.007754030498642892,0.008832739944285616,0.0,0.0
1e-10,240,32,left,30,rank,200,0,200,0,1.5825192274319795e-20,1.0,1.0,0.009279428389843204,0.010643743915649062,0.0,0.0
1e-10,240,32,primary,5,rank,200,0,200,0,0.8309725942747704,0.16902740572522956,1.009873647040004,1.282409760952966e-22,1.5666743906822767e-22,0.004125,0.045648506632089136
1e-10,240,32,primary,15,rank,200,0,200,0,0.919340487409646,0.08065951259035398,0.9936229794116781,2.462853308192061e-22,3.1504930672602623e-22,0.0040999999999999995,0.019210278811797207
1e-10,240,32,primary,30,rank,200,0,200,0,0.9410594053086601,0.05894059469134003,1.000061881642627,4.632596503949603e-22,5.991548412799246e-22,0.000425,0.011810262886273697
1e-10,240,32,right,5,rank,200,0,200,0,0.8498626668556262,0.150137333144374,1.0042661220380646,1.3915298965732362e-22,1.7164844521161278e-22,0.004375,0.04242175701140706
1e-10,240,32,right,15,rank,200,0,200,0,0.9217392789779609,0.07826072102203921,1.0010173078875813,2.5748763711805315e-22,3.3395343560336537e-22,0.003025,0.01845360284859586
1e-10,240,32,right,30,rank,200,0,200,0,0.9411698057519348,0.05883019424806521,0.9992616275344933,4.760672004602038e-22,6.22138202474911e-22,0.000475,0.012110272311948786
1e-06,80,4,left,5,rank,200,0,200,0,-7.751695931011671e-10,1.0000000007751697,0.9999999999584513,0.029672536891430026,0.03002074685171066,0.0,1.5606901818198655e-09
1e-06,80,4,left,15,rank,200,0,200,0,1.6877234841523407e-07,0.9999998312276516,0.9999998583405508,0.042581825803818515,0.04306687857492314,0.0,1.4751440216459362e-07
1e-06,80,4,left,30,rank,200,0,200,0,-1.9948996687974515e-11,1.0000000000199492,1.00000000003226,0.1224480214394196,0.12383312360855836,0.0,2.4991469118094602e-11
1e-06,80,4,primary,5,rank,200,11,189,0,0.7974271101281606,0.2025728898718394,1.0009120584482694,3.568526010064333e-10,9.183847207873614e-10,0.315525,0.07948228608091043
1e-06,80,4,primary,15,rank,200,14,186,0,0.870241794084504,0.1297582059154961,1.002022171273097,1.1432239152994007e-07,2.6686766540562344e-07,0.270475,0.040728339450595195
1e-06,80,4,primary,30,rank,200,11,189,0,0.8445382031480275,0.15546179685197242,0.999069083863734,8.149613064966091e-11,2.3444574778235715e-10,0.111425,0.029535423733424368
1e-06,80,4,right,5,rank,200,0,200,0,0.8556408881765116,0.14435911182348835,0.9996119423321872,9.95839827415015e-14,1.5418706517228676e-13,0.2773,0.07021010879130107
1e-06,80,4,right,15,rank,200,0,200,0,0.9225678576840312,0.07743214231596876,1.0026622678873434,2.640520152735085e-13,4.239057025299932e-13,0.21517499999999998,0.03303690073390027
1e-06,80,4,right,30,rank,200,0,200,0,0.8821062650420173,0.11789373495798278,1.0021361960803212,1.7572133789723863e-12,2.2355366043837923e-12,0.0509,0.024203027466580904
1e-06,80,8,left,5,rank,200,0,200,0,-2.8775252719776563e-10,1.0000000002877525,0.9999999991936189,0.029742422463336703,0.031118824976353626,0.0,1.1047127108107057e-09
1e-06,80,8,left,15,rank,200,0,200,0,5.994311109412936e-08,0.9999999400568889,0.999999883773026,0.04403407813927382,0.045996530904564195,0.0,1.105903305076195e-07
1e-06,80,8,left,30,rank,200,0,200,0,-1.6070646378293037e-11,1.0000000000160707,1.0000000000189269,0.15410125980852496,0.16091277019199127,0.0,4.822332188499655e-11
1e-06,80,8,primary,5,rank,200,11,189,0,0.7893361484993429,0.210663851500657,0.9987394218674659,2.9953402539031736e-10,4.825622548130753e-10,0.1679,0.06547487400934549
1e-06,80,8,primary,15,rank,200,12,188,0,0.8558161627233238,0.14418383727667614,1.0103529042034196,9.126466437843663e-08,1.7324597910514555e-07,0.118825,0.033277330853350294
1e-06,80,8,primary,30,rank,200,9,191,0,0.7168080344489292,0.2831919655510707,0.9936757216244478,7.89116532129238e-11,1.8695518045813215e-10,0.04415,0.026626191565266355
1e-06,80,8,right,5,rank,200,0,200,0,0.8458065571824767,0.15419344281752323,0.9967937880771632,7.689402570405024e-14,1.0139834371525323e-13,0.11622500000000001,0.061855817587017387
1e-06,80,8,right,15,rank,200,0,200,0,0.9049894006573919,0.09501059934260817,1.011763282820821,2.2471900927360346e-13,3.005677203887236e-13,0.060075,0.027853649159455582
1e-06,80,8,right,30,rank,200,0,200,0,0.7041012032293318,0.2958987967706681,0.997929161371271,3.05119022437296e-12,3.5925682504914993e-12,0.0006,0.023641271256015985
1e-06,80,16,left,5,rank,200,0,200,0,-4.3228008139805375e-10,1.0000000004322802,0.9999999999489201,0.0304050772281368,0.03320665148227225,0.0,3.1330743647539943e-10
1e-06,80,16,left,15,rank,200,0,200,0,1.1870191093069103e-08,0.999999988129809,0.9999999144044157,0.0482758131584064,0.05282272532118583,0.0,1.2102403230859167e-07
1e-06,80,16,left,30,rank,200,0,200,0,1.2487390704409858e-11,0.9999999999875127,1.00000000000453,0.40993285483424347,0.44853695135465155,0.0,1.4123462032481737e-11
1e-06,80,16,primary,5,rank,200,11,189,0,0.7520495359943676,0.24795046400563236,1.0027226920012415,2.0059841249590005e-10,3.556488284328781e-10,0.05582500000000001,0.05710283172730182
1e-06,80,16,primary,15,rank,200,8,192,0,0.7888584254152081,0.21114157458479185,1.0023788459768235,5.333161255356435e-08,9.241240177473701e-08,0.0473,0.031490926652377856
1e-06,80,16,primary,30,rank,200,4,196,0,0.18124457268848448,0.8187554273115155,1.0009737355132535,6.20569188840196e-11,1.4623326667403997e-10,0.02045,0.01007968964419529
1e-06,80,16,right,5,rank,200,0,200,0,0.8066380274589574,0.19336197254104262,0.9979099525002729,7.733795633780385e-14,9.295784939013917e-14,0.00485,0.05544737335086872
1e-06,80,16,right,15,rank,200,0,200,0,0.82893655536482,0.17106344463518,1.0062508016042666,2.7628613895768017e-13,3.427564950380283e-13,0.0011,0.027043685957091123
1e-06,80,32,left,5,rank,200,0,200,0,-1.9765789189117373e-10,1.000000000197658,1.0000000000533436,0.03627197260023095,0.04145889827855633,0.0,4.3655756066591144e-10
