spectrum_index,rank_index,setup_name,step_rank,eta,orientation_seed,budget,analysis_role,risk_name,q,bootstrap_count,bootstrap_frequency,bootstrap_samples,bootstrap_seed
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,32,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,33,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,34,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,35,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,36,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,0,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,1,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,2,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,3,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,4,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,5,20000,1.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,6,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,7,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,8,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,9,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,10,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,11,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,12,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,13,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,14,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,15,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,16,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,17,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,18,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,19,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,20,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,21,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,22,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,23,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,24,0,0.0,20000,20260817
