eta,budget,s,pair,estimator,epsilon,rank_scope,paths,evaluable,original_baseline_mean,paid_baseline_mean,paid_candidate_mean,paid_oracle_mean,paid_selected_mean,selected_mean_ratio,paid_baseline_mean_ratio,paid_candidate_mean_ratio,paid_oracle_mean_ratio,median_pathwise_ratio,p90_pathwise_ratio,p95_pathwise_ratio,p99_pathwise_ratio,max_pathwise_ratio,fraction_paths_harmed,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability,mean_cost_multiplier,mean_net_numerator_threshold,decision_efficiency
1e-10,240,4,primary,sample_variance,0.3333333333333333,15,200.0,True,1.3810357890864098e-21,1.421654488765422e-21,1.5124699102483894e-21,1.4212872370815269e-21,1.4241109536031715e-21,1.0311904766387388,1.0294117647058825,1.0951706843520157,1.0291458398929287,1.031399401873645,1.0320685053467638,1.0324196110046626,1.0330744065910091,1.0333920121824467,1.0,0.027975000000000003,0.05815000000000001,0.913875,0.058175,0.027325000000000002,0.00435,0.00065,0.027325000000000002,1.0294117647058822,0.9714285714285714,-6.688777602584048
1e-10,240,4,primary,sample_variance,0.3333333333333333,30,200.0,True,3.1212160808973177e-21,3.2288442216179147e-21,3.3294101850774216e-21,3.2288442216179147e-21,3.230526288574311e-21,1.0350216725929362,1.0344827586206895,1.0667028807951835,1.0344827586206895,1.034966268260625,1.0354490850475357,1.035607807610482,1.0357744858811184,1.035931944125498,1.0,0.016725,0.029125000000000005,0.9541499999999999,0.029125000000000005,0.016725,0.0,0.0,0.016725,1.03448275862069,0.9666666666666666,
1e-10,240,4,primary,sample_variance,0.3333333333333333,equal_rank,200.0,True,1.6437385108623858e-21,1.6969841570307385e-21,1.789809235878109e-21,1.6968617398027735e-21,1.6996301802147466e-21,1.0339517817130233,1.0302267458707621,1.1305641493186627,1.0301381042664441,1.0340925809882409,1.0354971647503513,1.0360081515278274,1.0369560889809966,1.0374582462976922,1.0,0.02944166666666667,0.08440833333333332,0.8861500000000001,0.08441666666666665,0.029225000000000004,0.00145,0.00021666666666666666,0.029225000000000004,1.0302267458707621,0.9706694271911663,-42.023560729996234
1e-10,240,8,primary,sample_variance,0.3333333333333333,5,200.0,True,4.289636626034297e-22,4.484620109035857e-22,5.371393870777616e-22,4.484620109035857e-22,4.487878702110269e-22,1.0462141886034864,1.0454545454545456,1.2521792261325844,1.0454545454545456,1.0464871372242306,1.047521884750695,1.047523957103678,1.0485694930595506,1.0495879231403462,1.0,0.0036749999999999994,0.09982500000000001,0.8965,0.09982500000000001,0.0036749999999999994,0.0,0.0,0.0036749999999999994,1.045454545454545,0.956521739130435,
1e-10,240,8,primary,sample_variance,0.3333333333333333,15,200.0,True,1.3810357890864098e-21,1.4500875785407303e-21,1.5427193084533573e-21,1.4497129818231573e-21,1.4502544685768072e-21,1.0501208441065726,1.05,1.117074098039056,1.0497287566907874,1.050000000000002,1.0503390450665868,1.0503395937264277,1.0506778440525142,1.0506798258375198,1.0,0.0021,0.016525,0.9813749999999999,0.016475000000000004,0.001925,0.004824999999999999,0.0,0.0021,1.0500000000000003,0.9523809523809524,-0.4455192163939462
1e-10,240,8,primary,sample_variance,0.3333333333333333,30,200.0,True,3.1212160808973177e-21,3.304817026832454e-21,3.407749248255714e-21,3.304817026832454e-21,3.304904526901793e-21,1.0588515633789977,1.0588235294117647,1.0918017721080113,1.0588235294117647,1.0588235294117665,1.0589882921230653,1.0589886322055426,1.0589905684725507,1.059153893828958,1.0,0.00085,0.004125,0.9950249999999999,0.004125,0.00085,0.0,0.0,0.00085,1.0588235294117647,0.9444444444444445,
1e-10,240,8,primary,sample_variance,0.3333333333333333,equal_rank,200.0,True,1.6437385108623858e-21,1.7344555387589232e-21,1.829202647928944e-21,1.7343306731863993e-21,1.7346489552298757e-21,1.051728865363019,1.0514260249554368,1.1536850320932173,1.0513356105190326,1.0517702222119996,1.0522830739801157,1.0522840610118829,1.052745968528205,1.0531405476022746,1.0,0.002208333333333333,0.04015833333333334,0.9576333333333333,0.04014166666666667,0.0021499999999999996,0.0016083333333333331,0.0,0.002208333333333333,1.0514260249554368,0.9511157119852774,-3.349469615983262
1e-10,240,16,primary,sample_variance,0.3333333333333333,5,200.0,True,4.289636626034297e-22,4.653851056546643e-22,5.574087979108847e-22,4.653851056546643e-22,4.653874051293568e-22,1.0849110209122779,1.0849056603773584,1.2994312724017385,1.0849056603773584,1.0849056603773592,1.0849056603773628,1.0849056603773635,1.0849056603773641,1.0859777790688392,1.0,2.5e-05,0.04817500000000001,0.9518000000000001,0.04817500000000001,2.5e-05,0.0,0.0,2.5e-05,1.0849056603773588,0.921739130434783,
1e-10,240,16,primary,sample_variance,0.3333333333333333,15,200.0,True,1.3810357890864098e-21,1.5105078943132607e-21,1.6069992796389136e-21,1.5101176893991222e-21,1.510502041239548e-21,1.093745761823293,1.09375,1.1636188521240167,1.0934674548862369,1.09375,1.0937500000000033,1.0937500000000049,1.0937500000000049,1.0937500000000049,1.0,7.5e-05,0.002825,0.9971,0.002825,0.0,0.004925,0.0,7.5e-05,1.09375,0.9142857142857145,0.015000000001662121
1e-10,240,16,primary,sample_variance,0.3333333333333333,30,200.0,True,3.1212160808973177e-21,3.468017867663686e-21,3.576033161749824e-21,3.468017867663686e-21,3.468017867663686e-21,1.111111111111111,1.111111111111111,1.1457179090022345,1.111111111111111,1.1111111111111112,1.1111111111111152,1.111111111111116,1.1111111111111167,1.1111111111111167,1.0,0.0,0.00017500000000000003,0.999825,0.00017500000000000003,0.0,0.0,0.0,0.0,1.111111111111111,0.9000000000000002,
