alpha,trial,extrapolation_dist,target_q,alpha_hat,delta_alpha,loss_pilot,log_tail_error,theoretical_exponent
0.05,12,30,40,0.08647566391044466,0.036475663910444656,0.0012301634896680813,3.330246873374469,2.9180531128355724
0.05,12,40,50,0.08647566391044466,0.036475663910444656,0.0012301634896680813,4.059760151583362,3.6475663910444656
0.05,12,50,60,0.08647566391044466,0.036475663910444656,0.0012301634896680813,4.789273429792257,4.377079669253359
0.05,12,60,70,0.08647566391044466,0.036475663910444656,0.0012301634896680813,5.518786708001149,5.106592947462252
0.05,12,70,80,0.08647566391044466,0.036475663910444656,0.0012301634896680813,6.248299986210042,5.836106225671145
0.05,13,10,20,0.10156810410198654,0.051568104101986534,0.0011645538420194544,2.621164728236326,2.0627241640794614
0.05,13,20,30,0.10156810410198654,0.051568104101986534,0.0011645538420194544,3.6525268102760564,3.094086246119192
0.05,13,30,40,0.10156810410198654,0.051568104101986534,0.0011645538420194544,4.683888892315787,4.125448328158923
0.05,13,40,50,0.10156810410198654,0.051568104101986534,0.0011645538420194544,5.715250974355518,5.156810410198654
0.05,13,50,60,0.10156810410198654,0.051568104101986534,0.0011645538420194544,6.746613056395249,6.188172492238384
0.05,13,60,70,0.10156810410198654,0.051568104101986534,0.0011645538420194544,7.77797513843498,7.219534574278114
0.05,13,70,80,0.10156810410198654,0.051568104101986534,0.0011645538420194544,8.80933722047471,8.250896656317845
0.05,14,10,20,0.08904336349269092,0.03904336349269091,0.0005944334743139998,2.0006961245240444,1.5617345397076365
0.05,14,20,30,0.08904336349269092,0.03904336349269091,0.0005944334743139998,2.7815633943778626,2.342601809561455
0.05,14,30,40,0.08904336349269092,0.03904336349269091,0.0005944334743139998,3.5624306642316808,3.123469079415273
0.05,14,40,50,0.08904336349269092,0.03904336349269091,0.0005944334743139998,4.3432979340854985,3.9043363492690912
0.05,14,50,60,0.08904336349269092,0.03904336349269091,0.0005944334743139998,5.124165203939318,4.68520361912291
0.05,14,60,70,0.08904336349269092,0.03904336349269091,0.0005944334743139998,5.905032473793136,5.466070888976728
0.05,14,70,80,0.08904336349269092,0.03904336349269091,0.0005944334743139998,6.685899743646954,6.246938158830546
0.05,15,10,20,0.08574620399326661,0.03574620399326661,0.0010182952050044832,1.8342792368600684,1.4298481597306645
0.05,15,20,30,0.08574620399326661,0.03574620399326661,0.0010182952050044832,2.5492033167254005,2.144772239595997
0.05,15,30,40,0.08574620399326661,0.03574620399326661,0.0010182952050044832,3.2641273965907325,2.859696319461329
0.05,15,40,50,0.08574620399326661,0.03574620399326661,0.0010182952050044832,3.9790514764560654,3.574620399326661
0.05,15,50,60,0.08574620399326661,0.03574620399326661,0.0010182952050044832,4.693975556321398,4.289544479191994
0.05,15,60,70,0.08574620399326661,0.03574620399326661,0.0010182952050044832,5.408899636186729,5.004468559057326
0.05,15,70,80,0.08574620399326661,0.03574620399326661,0.0010182952050044832,6.123823716052061,5.719392638922658
0.05,16,10,20,0.09193542583038418,0.041935425830384176,0.0014165188567528315,2.145536697885693,1.677417033215367
0.05,16,20,30,0.09193542583038418,0.041935425830384176,0.0014165188567528315,2.984245214493376,2.516125549823051
0.05,16,30,40,0.09193542583038418,0.041935425830384176,0.0014165188567528315,3.8229537311010593,3.354834066430734
0.05,16,40,50,0.09193542583038418,0.041935425830384176,0.0014165188567528315,4.661662247708744,4.193542583038417
0.05,16,50,60,0.09193542583038418,0.041935425830384176,0.0014165188567528315,5.500370764316427,5.032251099646102
0.05,16,60,70,0.09193542583038418,0.041935425830384176,0.0014165188567528315,6.33907928092411,5.870959616253785
0.05,16,70,80,0.09193542583038418,0.041935425830384176,0.0014165188567528315,7.177787797531793,6.709668132861468
0.05,17,10,20,0.08439532409748086,0.03439532409748086,0.0013933362342483024,1.7656768142122263,1.3758129638992345
0.05,17,20,30,0.08439532409748086,0.03439532409748086,0.0013933362342483024,2.4535832961618436,2.063719445848852
0.05,17,30,40,0.08439532409748086,0.03439532409748086,0.0013933362342483024,3.141489778111461,2.751625927798469
0.05,17,40,50,0.08439532409748086,0.03439532409748086,0.0013933362342483024,3.829396260061078,3.439532409748086
0.05,17,50,60,0.08439532409748086,0.03439532409748086,0.0013933362342483024,4.5173027420106955,4.127438891697704
0.05,17,60,70,0.08439532409748086,0.03439532409748086,0.0013933362342483024,5.2052092239603125,4.815345373647321
0.05,17,70,80,0.08439532409748086,0.03439532409748086,0.0013933362342483024,5.89311570590993,5.503251855596938
0.05,18,10,20,0.10339348055627981,0.05339348055627981,0.0058471067982826894,2.7102290811988583,2.135739222251192
0.05,18,20,30,0.10339348055627981,0.05339348055627981,0.0058471067982826894,3.778098692324454,3.2036088333767885
0.05,18,30,40,0.10339348055627981,0.05339348055627981,0.0058471067982826894,4.84596830345005,4.271478444502384
0.05,18,40,50,0.10339348055627981,0.05339348055627981,0.0058471067982826894,5.913837914575646,5.339348055627981
0.05,18,50,60,0.10339348055627981,0.05339348055627981,0.0058471067982826894,6.981707525701244,6.407217666753577
0.05,18,60,70,0.10339348055627981,0.05339348055627981,0.0058471067982826894,8.049577136826837,7.475087277879173
0.05,18,70,80,0.10339348055627981,0.05339348055627981,0.0058471067982826894,9.117446747952435,8.542956889004769
0.05,19,10,20,0.08271697749147769,0.032716977491477686,0.0006817179441977585,1.680087445613536,1.3086790996591073
0.05,19,20,30,0.08271697749147769,0.032716977491477686,0.0006817179441977585,2.3344269954430894,1.9630186494886612
0.05,19,30,40,0.08271697749147769,0.032716977491477686,0.0006817179441977585,2.9887665452726435,2.6173581993182147
0.05,19,40,50,0.08271697749147769,0.032716977491477686,0.0006817179441977585,3.643106095102197,3.271697749147769
0.05,19,50,60,0.08271697749147769,0.032716977491477686,0.0006817179441977585,4.29744564493175,3.9260372989773225
0.05,19,60,70,0.08271697749147769,0.032716977491477686,0.0006817179441977585,4.951785194761304,4.580376848806876
0.05,19,70,80,0.08271697749147769,0.032716977491477686,0.0006817179441977585,5.606124744590859,5.234716398636429
0.05,20,10,20,0.09442410509825869,0.044424105098258684,0.0022261386742424487,2.269382396516162,1.7769642039303473
