eta,budget,s,pair,estimator,epsilon,rank_scope,paths,evaluable,original_baseline_mean,paid_baseline_mean,paid_candidate_mean,paid_oracle_mean,paid_selected_mean,selected_mean_ratio,paid_baseline_mean_ratio,paid_candidate_mean_ratio,paid_oracle_mean_ratio,median_pathwise_ratio,p90_pathwise_ratio,p95_pathwise_ratio,p99_pathwise_ratio,max_pathwise_ratio,fraction_paths_harmed,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability,mean_cost_multiplier,mean_net_numerator_threshold,decision_efficiency
1e-10,80,8,left,paired_mean,0.5,30,200.0,True,2.809094472807586e-20,4.681824121345976e-20,0.16566706648432145,4.681824121345976e-20,4.681824121345978e-20,1.6666666666666672,1.6666666666666665,5.8975256292731e+18,1.6666666666666665,1.6666666666666685,1.6666666666666752,1.6666666666666754,1.6666666666666754,1.6666666666666754,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.666666666666667,0.5999999999999999,
1e-10,80,8,left,paired_mean,0.5,equal_rank,200.0,True,1.1766915692169063e-20,1.84382456572585e-20,0.08169120610528359,1.84382456572585e-20,1.8438245657258505e-20,1.3287250384024578,1.3287250384024576,1.2271350307928947e+19,1.3287250384024576,1.3287250384024578,1.3287250384024631,1.328725038402464,1.328725038402464,1.3287250384024643,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3287250384024578,0.7752380952380952,
1e-10,80,8,left,sample_variance,0.0,5,200.0,True,1.4094520342684121e-21,1.591316812883691e-21,0.03207376144800543,1.591316812883691e-21,1.591316812883691e-21,1.129032258064516,1.129032258064516,2.2756192242223825e+19,1.129032258064516,1.1290322580645162,1.12903225806452,1.129032258064521,1.1290322580645211,1.1290322580645211,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1290322580645162,0.885714285714286,
1e-10,80,8,left,sample_variance,0.0,15,200.0,True,5.800350314162921e-21,6.905178945432048e-21,0.04733279038352387,6.905178945432048e-21,6.905178945432048e-21,1.1904761904761902,1.1904761904761902,8.160333052289914e+18,1.1904761904761902,1.1904761904761891,1.190476190476195,1.1904761904761958,1.1904761904761958,1.190476190476196,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1904761904761902,0.84,
1e-10,80,8,left,sample_variance,0.0,30,200.0,True,2.809094472807586e-20,4.681824121345976e-20,0.16566706648432145,4.681824121345976e-20,4.681824121345978e-20,1.6666666666666672,1.6666666666666665,5.8975256292731e+18,1.6666666666666665,1.6666666666666685,1.6666666666666752,1.6666666666666754,1.6666666666666754,1.6666666666666754,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.666666666666667,0.5999999999999999,
1e-10,80,8,left,sample_variance,0.0,equal_rank,200.0,True,1.1766915692169063e-20,1.84382456572585e-20,0.08169120610528359,1.84382456572585e-20,1.8438245657258505e-20,1.3287250384024578,1.3287250384024576,1.2271350307928947e+19,1.3287250384024576,1.3287250384024578,1.3287250384024631,1.328725038402464,1.328725038402464,1.3287250384024643,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3287250384024578,0.7752380952380952,
1e-10,80,8,left,sample_variance,0.2,5,200.0,True,1.4094520342684121e-21,1.591316812883691e-21,0.03207376144800543,1.591316812883691e-21,1.591316812883691e-21,1.129032258064516,1.129032258064516,2.2756192242223825e+19,1.129032258064516,1.1290322580645162,1.12903225806452,1.129032258064521,1.1290322580645211,1.1290322580645211,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1290322580645162,0.885714285714286,
1e-10,80,8,left,sample_variance,0.2,15,200.0,True,5.800350314162921e-21,6.905178945432048e-21,0.04733279038352387,6.905178945432048e-21,6.905178945432048e-21,1.1904761904761902,1.1904761904761902,8.160333052289914e+18,1.1904761904761902,1.1904761904761891,1.190476190476195,1.1904761904761958,1.1904761904761958,1.190476190476196,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1904761904761902,0.84,
1e-10,80,8,left,sample_variance,0.2,30,200.0,True,2.809094472807586e-20,4.681824121345976e-20,0.16566706648432145,4.681824121345976e-20,4.681824121345978e-20,1.6666666666666672,1.6666666666666665,5.8975256292731e+18,1.6666666666666665,1.6666666666666685,1.6666666666666752,1.6666666666666754,1.6666666666666754,1.6666666666666754,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.666666666666667,0.5999999999999999,
1e-10,80,8,left,sample_variance,0.2,equal_rank,200.0,True,1.1766915692169063e-20,1.84382456572585e-20,0.08169120610528359,1.84382456572585e-20,1.8438245657258505e-20,1.3287250384024578,1.3287250384024576,1.2271350307928947e+19,1.3287250384024576,1.3287250384024578,1.3287250384024631,1.328725038402464,1.328725038402464,1.3287250384024643,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3287250384024578,0.7752380952380952,
1e-10,80,8,left,sample_variance,0.3333333333333333,5,200.0,True,1.4094520342684121e-21,1.591316812883691e-21,0.03207376144800543,1.591316812883691e-21,1.591316812883691e-21,1.129032258064516,1.129032258064516,2.2756192242223825e+19,1.129032258064516,1.1290322580645162,1.12903225806452,1.129032258064521,1.1290322580645211,1.1290322580645211,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1290322580645162,0.885714285714286,
1e-10,80,8,left,sample_variance,0.3333333333333333,15,200.0,True,5.800350314162921e-21,6.905178945432048e-21,0.04733279038352387,6.905178945432048e-21,6.905178945432048e-21,1.1904761904761902,1.1904761904761902,8.160333052289914e+18,1.1904761904761902,1.1904761904761891,1.190476190476195,1.1904761904761958,1.1904761904761958,1.190476190476196,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1904761904761902,0.84,
1e-10,80,8,left,sample_variance,0.3333333333333333,30,200.0,True,2.809094472807586e-20,4.681824121345976e-20,0.16566706648432145,4.681824121345976e-20,4.681824121345978e-20,1.6666666666666672,1.6666666666666665,5.8975256292731e+18,1.6666666666666665,1.6666666666666685,1.6666666666666752,1.6666666666666754,1.6666666666666754,1.6666666666666754,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.666666666666667,0.5999999999999999,
1e-10,80,8,left,sample_variance,0.3333333333333333,equal_rank,200.0,True,1.1766915692169063e-20,1.84382456572585e-20,0.08169120610528359,1.84382456572585e-20,1.8438245657258505e-20,1.3287250384024578,1.3287250384024576,1.2271350307928947e+19,1.3287250384024576,1.3287250384024578,1.3287250384024631,1.328725038402464,1.328725038402464,1.3287250384024643,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3287250384024578,0.7752380952380952,
1e-10,80,8,left,sample_variance,0.5,5,200.0,True,1.4094520342684121e-21,1.591316812883691e-21,0.03207376144800543,1.591316812883691e-21,1.591316812883691e-21,1.129032258064516,1.129032258064516,2.2756192242223825e+19,1.129032258064516,1.1290322580645162,1.12903225806452,1.129032258064521,1.1290322580645211,1.1290322580645211,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1290322580645162,0.885714285714286,
1e-10,80,8,left,sample_variance,0.5,15,200.0,True,5.800350314162921e-21,6.905178945432048e-21,0.04733279038352387,6.905178945432048e-21,6.905178945432048e-21,1.1904761904761902,1.1904761904761902,8.160333052289914e+18,1.1904761904761902,1.1904761904761891,1.190476190476195,1.1904761904761958,1.1904761904761958,1.190476190476196,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1904761904761902,0.84,
1e-10,80,8,left,sample_variance,0.5,30,200.0,True,2.809094472807586e-20,4.681824121345976e-20,0.16566706648432145,4.681824121345976e-20,4.681824121345978e-20,1.6666666666666672,1.6666666666666665,5.8975256292731e+18,1.6666666666666665,1.6666666666666685,1.6666666666666752,1.6666666666666754,1.6666666666666754,1.6666666666666754,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.666666666666667,0.5999999999999999,
1e-10,80,8,left,sample_variance,0.5,equal_rank,200.0,True,1.1766915692169063e-20,1.84382456572585e-20,0.08169120610528359,1.84382456572585e-20,1.8438245657258505e-20,1.3287250384024578,1.3287250384024576,1.2271350307928947e+19,1.3287250384024576,1.3287250384024578,1.3287250384024631,1.328725038402464,1.328725038402464,1.3287250384024643,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3287250384024578,0.7752380952380952,
1e-10,80,8,primary,mom_w1,0.0,5,200.0,True,1.4094520342684121e-21,1.6443607066464805e-21,1.9695110859517926e-21,1.6443607066464805e-21,1.7688113092754076e-21,1.254963820172514,1.1666666666666665,1.3973594262638982,1.1666666666666665,1.254358320333013,1.2657688069839599,1.269234596786658,1.272838116376475,1.2749900875608102,1.0,0.38275000000000003,0.61725,0.0,0.61725,0.38275000000000003,0.0,0.0,0.38275000000000003,1.1666666666666665,0.8571428571428571,
1e-10,80,8,primary,mom_w1,0.0,15,200.0,True,5.800350314162921e-21,7.25043789270365e-21,7.713596542266785e-21,7.248564909115787e-21,7.454516849184719e-21,1.285183901907228,1.2499999999999998,1.3298501167131618,1.2496770912985562,1.285842900489686,1.2894290233934869,1.2899477877655063,1.291517474469468,1.2947300766713883,1.0,0.44120000000000004,0.5588,0.0,0.55885,0.4386750000000001,0.0024749999999999998,0.0,0.44120000000000004,1.25,0.8,-108.95928709860308
1e-10,80,8,primary,mom_w1,0.0,30,200.0,True,2.809094472807586e-20,5.618188945615171e-20,5.793173722034713e-20,5.618188945615171e-20,5.69920303905675e-20,2.0288399319516683,2.0,2.0622922362040215,2.0,2.028699647133185,2.031688634850147,2.0324595087630244,2.034625612496458,2.0351426393011973,1.0,0.46297499999999997,0.537025,0.0,0.537025,0.46297499999999997,0.0,0.0,0.46297499999999997,2.0,0.5,
1e-10,80,8,primary,mom_w1,0.0,equal_rank,200.0,True,1.1766915692169063e-20,2.1692229351833948e-20,2.253828161618857e-20,2.1691605023971328e-20,2.2071786183009208e-20,1.5229958846771368,1.472222222222222,1.5965005930603606,1.4721145859884075,1.5229669559852947,1.5289621550758643,1.5305472977717294,1.532993734447467,1.5349542678444654,1.0,0.42897500000000005,0.571025,0.0,0.5710416666666666,0.4281333333333333,0.0008249999999999999,0.0,0.42897500000000005,1.472222222222222,0.719047619047619,-471.71533837174456
1e-10,80,8,primary,mom_w1,0.2,5,200.0,True,1.4094520342684121e-21,1.6443607066464805e-21,1.9695110859517926e-21,1.6443607066464805e-21,1.6964090746985223e-21,1.2035947541691674,1.1666666666666665,1.3973594262638982,1.1666666666666665,1.2035676014435541,1.2105194260649623,1.212834253368976,1.2162838804942717,1.2209061127843026,1.0,0.160075,0.3381,0.5018250000000001,0.3381,0.160075,0.0,0.0,0.160075,1.1666666666666665,0.8571428571428571,
1e-10,80,8,primary,mom_w1,0.2,15,200.0,True,5.800350314162921e-21,7.25043789270365e-21,7.713596542266785e-21,7.248564909115787e-21,7.30805660965453e-21,1.2599336615600938,1.2499999999999998,1.3298501167131618,1.2496770912985562,1.2600654279029815,1.262497205354669,1.2633200299777987,1.264509467677167,1.2645288808390347,1.0,0.12539999999999998,0.189575,0.685025,0.189525,0.12422499999999999,0.0038250000000000003,0.0,0.12539999999999998,1.25,0.8,-30.76306558381687
1e-10,80,8,primary,mom_w1,0.2,30,200.0,True,2.809094472807586e-20,5.618188945615171e-20,5.793173722034713e-20,5.618188945615171e-20,5.634909262652126e-20,2.00595220886973,2.0,2.0622922362040215,2.0,2.0056234746624115,2.0077639606684077,2.008107527131817,2.009627458440133,2.0100044631666534,1.0,0.09555,0.1242,0.7802500000000001,0.1242,0.09555,0.0,0.0,0.09555,2.0,0.5,
1e-10,80,8,primary,mom_w1,0.2,equal_rank,200.0,True,1.1766915692169063e-20,2.1692229351833948e-20,2.253828161618857e-20,2.1691605023971328e-20,2.1784519436958104e-20,1.4898268748663304,1.472222222222222,1.5965005930603606,1.4721145859884075,1.4897521680029824,1.493593530696013,1.4947539368261973,1.4968069355371905,1.4984798189299966,1.0,0.1270083333333333,0.21729166666666666,0.6557000000000001,0.217275,0.12661666666666668,0.001275,0.0,0.1270083333333333,1.472222222222222,0.719047619047619,-163.55693636059007
1e-10,80,8,primary,mom_w1,0.3333333333333333,5,200.0,True,1.4094520342684121e-21,1.6443607066464805e-21,1.9695110859517926e-21,1.6443607066464805e-21,1.6735265366009378e-21,1.1873596943436218,1.1666666666666665,1.3973594262638982,1.1666666666666665,1.1874241405324826,1.1932053460344754,1.1943474701524255,1.198945308790101,1.2012875897204776,1.0,0.08969999999999999,0.21525000000000002,0.6950500000000001,0.21525000000000002,0.08969999999999999,0.0,0.0,0.08969999999999999,1.1666666666666665,0.8571428571428571,
1e-10,80,8,primary,mom_w1,0.3333333333333333,15,200.0,True,5.800350314162921e-21,7.25043789270365e-21,7.713596542266785e-21,7.248564909115787e-21,7.278330757883089e-21,1.2548088242379654,1.2499999999999998,1.3298501167131618,1.2496770912985562,1.2548365597744051,1.2564568020916393,1.2568633066539088,1.2572687822055135,1.25846841165233,1.0,0.061075,0.0942,0.844725,0.0943,0.06029999999999999,0.004225,0.0,0.061075,1.25,0.8,-14.892210140102996
1e-10,80,8,primary,mom_w1,0.3333333333333333,30,200.0,True,2.809094472807586e-20,5.618188945615171e-20,5.793173722034713e-20,5.618188945615171e-20,5.625236680309883e-20,2.0025088991356235,2.0,2.0622922362040215,2.0,2.002491405700413,2.003467607051511,2.0040448241839357,2.004668185240098,2.0052777768278536,1.0,0.040275,0.05210000000000001,0.907625,0.05210000000000001,0.040275,0.0,0.0,0.040275,2.0,0.5,
1e-10,80,8,primary,mom_w1,0.3333333333333333,equal_rank,200.0,True,1.1766915692169063e-20,2.1692229351833948e-20,2.253828161618857e-20,2.1691605023971328e-20,2.1734741365860953e-20,1.4815591392390701,1.472222222222222,1.5965005930603606,1.4721145859884075,1.4815840353357668,1.4843765850592086,1.48508520033009,1.4869607587452378,1.4883445927335537,1.0,0.06368333333333333,0.12051666666666667,0.8158,0.12055,0.063425,0.0014083333333333333,0.0,0.06368333333333333,1.472222222222222,0.719047619047619,-86.74511069321221
1e-10,80,8,primary,mom_w1,0.5,5,200.0,True,1.4094520342684121e-21,1.6443607066464805e-21,1.9695110859517926e-21,1.6443607066464805e-21,1.6579603567393554e-21,1.176315558407728,1.1666666666666665,1.3973594262638982,1.1666666666666665,1.175897859109849,1.1805149316049006,1.1828093108074367,1.186290342334846,1.1874513315927064,1.0,0.041825,0.11465,0.8435250000000001,0.11465,0.041825,0.0,0.0,0.041825,1.1666666666666665,0.8571428571428571,
1e-10,80,8,primary,mom_w1,0.5,15,200.0,True,5.800350314162921e-21,7.25043789270365e-21,7.713596542266785e-21,7.248564909115787e-21,7.26154515694208e-21,1.251914929898511,1.2499999999999998,1.3298501167131618,1.2496770912985562,1.252014536327068,1.2528251512463522,1.2532321580390087,1.2540326115857443,1.2544393802563747,1.0,0.024350000000000004,0.038650000000000004,0.9370000000000002,0.0386,0.024025000000000005,0.004675,0.0,0.024350000000000004,1.25,0.8,-5.930251770703233
1e-10,80,8,primary,mom_w1,0.5,30,200.0,True,2.809094472807586e-20,5.618188945615171e-20,5.793173722034713e-20,5.618188945615171e-20,5.620621392189467e-20,2.0008659183939317,2.0,2.0622922362040215,2.0,2.000932365897322,2.001558780043887,2.001864942136235,2.0018782302452673,2.002182365573114,1.0,0.0139,0.018025,0.968075,0.018025,0.0139,0.0,0.0,0.0139,2.0,0.5,
1e-10,80,8,primary,mom_w1,0.5,equal_rank,200.0,True,1.1766915692169063e-20,2.1692229351833948e-20,2.253828161618857e-20,2.1691605023971328e-20,2.1708573145192035e-20,1.476365468900057,1.472222222222222,1.5965005930603606,1.4721145859884075,1.476281587111413,1.4782996209650465,1.479302136994227,1.4807337280552861,1.4813576924740648,1.0,0.02669166666666667,0.05710833333333334,0.9162000000000002,0.05709166666666667,0.026583333333333334,0.0015583333333333334,0.0,0.02669166666666667,1.472222222222222,0.719047619047619,-38.49304765690159
