eta,budget,s,pair,estimator,epsilon,rank_scope,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability
1e-10,80,4,primary,paired_mean,0.3333333333333333,5,0.095975,0.20435000000000003,0.699675,0.20435000000000003,0.095975,0.0,0.0,0.095975
1e-10,80,4,primary,paired_mean,0.3333333333333333,15,0.0616,0.09527499999999998,0.843125,0.09549999999999999,0.060625,0.004025,0.0,0.0616
1e-10,80,4,primary,paired_mean,0.3333333333333333,30,0.043025,0.05717500000000001,0.8997999999999999,0.05717500000000001,0.043025,0.0,0.0,0.043025
1e-10,80,4,primary,paired_mean,0.3333333333333333,equal_rank,0.06686666666666667,0.11893333333333335,0.8142,0.11900833333333334,0.06654166666666668,0.0013416666666666666,0.0,0.06686666666666667
1e-10,80,4,primary,paired_mean,0.5,5,0.052425,0.12179999999999999,0.825775,0.12179999999999999,0.052425,0.0,0.0,0.052425
1e-10,80,4,primary,paired_mean,0.5,15,0.030300000000000004,0.04647500000000001,0.9232250000000001,0.046675,0.02965,0.00435,0.0,0.030300000000000004
1e-10,80,4,primary,paired_mean,0.5,30,0.0193,0.024625000000000005,0.9560749999999999,0.024625000000000005,0.0193,0.0,0.0,0.0193
1e-10,80,4,primary,paired_mean,0.5,equal_rank,0.034008333333333335,0.06430000000000001,0.9016916666666667,0.06436666666666667,0.033791666666666664,0.00145,0.0,0.034008333333333335
1e-10,80,4,primary,sample_variance,0.0,5,0.39722499999999994,0.6027750000000001,0.0,0.6027750000000001,0.39722499999999994,0.0,0.0,0.39722499999999994
1e-10,80,4,primary,sample_variance,0.0,15,0.44555000000000006,0.55445,0.0,0.55475,0.44290000000000007,0.0023499999999999997,0.0,0.44555000000000006
1e-10,80,4,primary,sample_variance,0.0,30,0.46480000000000005,0.5352,0.0,0.5352,0.46480000000000005,0.0,0.0,0.46480000000000005
1e-10,80,4,primary,sample_variance,0.0,equal_rank,0.4358583333333334,0.5641416666666667,0.0,0.5642416666666668,0.43497500000000006,0.0007833333333333333,0.0,0.4358583333333334
1e-10,80,4,primary,sample_variance,0.2,5,0.095625,0.270675,0.6336999999999999,0.270675,0.095625,0.0,0.0,0.095625
