setup_index,spectrum_family,setup_name,spectral_parameters,matrix_seed,method,trial_index,trial_seed,exact_trace,estimate,squared_error,relative_error,b_final,r_pilot_actual,q_0,q_adapt_raw,q_target,delta_q_raw,delta_q_safe,delta_q_category,r_actual,ell_eff,guard_intervention,guard_relaxed_for_pilot_floor,pilot_cap_applied,max_adjacent_log_gap,gap_location,stop_reason,query_count
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),32,50032,109.88142805312557,109.70733756154148,0.030307499259992106,0.0015843486444308524,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),33,50033,109.88142805312557,110.576195180608,0.4827013614301755,0.006322880397463664,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),34,50034,109.88142805312557,109.58071093029166,0.09043078796550856,0.0027367420333172686,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),35,50035,109.88142805312557,110.02984990147871,0.022029045068561855,0.0013507455352817107,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),36,50036,109.88142805312557,110.28447377094578,0.1624458506532048,0.0036680058219241626,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),37,50037,109.88142805312557,109.83701257278592,0.001972734893801967,0.00040421280580898024,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),38,50038,109.88142805312557,109.72167112453991,0.02552227623112528,0.0014539029153172783,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),39,50039,109.88142805312557,109.77432403585263,0.011471270516003383,0.0009747235649427729,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),40,50040,109.88142805312557,110.22406967384185,0.11740328024707826,0.0031182851077492194,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),41,50041,109.88142805312557,109.78400413762242,0.00949141931196625,0.0008866276788471868,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
