setup_index,spectrum_family,setup_name,matrix_seed,q,observations,r_actual,ell,mean_oracle_risk,se_oracle_risk,ci_low_oracle_risk,ci_high_oracle_risk,mean_gaussian_risk,se_gaussian_risk,ci_low_gaussian_risk,ci_high_gaussian_risk,mean_rademacher_risk,se_rademacher_risk,ci_low_rademacher_risk,ci_high_rademacher_risk
0,power,power_c_0.3,42000,37,200,37,86,0.45081551045092466,1.1805243532864205e-17,0.45081551045092466,0.45081551045092466,0.5419775576632192,0.00013059629291510157,0.5417215889291056,0.5422335263973328,0.08541613336351647,7.799548740887989e-05,0.08526326220819506,0.08556900451883788
0,power,power_c_0.3,42000,38,200,38,84,0.45886460711071125,3.935081177621402e-18,0.45886460711071125,0.45886460711071125,0.5525789938334065,0.00013302232010500078,0.5523182700860007,0.5528397175808123,0.08768654159405348,7.905978670660381e-05,0.08753158441210854,0.08784149877599842
0,power,power_c_0.3,42000,39,200,39,82,0.46734887122512375,3.935081177621402e-18,0.46734887122512375,0.46734887122512375,0.563696180303704,0.0001351507902980552,0.5634312847547198,0.5639610758526883,0.0900675449135284,8.025995493644043e-05,0.08991023540185299,0.09022485442520382
0,power,power_c_0.3,42000,40,200,40,80,0.47629918782089375,3.935081177621402e-18,0.47629918782089375,0.47629918782089375,0.5753822297832869,0.00013670348248872322,0.575114290957609,0.5756501686089648,0.0925642496409478,8.084916420061785e-05,0.09240578527911458,0.09272271400278101
0,power,power_c_0.3,42000,41,200,41,78,0.4857497241729344,0.0,0.4857497241729344,0.4857497241729344,0.5876994346669665,0.00013773850066098905,0.587429467205671,0.587969402128262,0.095202197171424,8.138116388126498e-05,0.09504269009021672,0.09536170425263128
0,power,power_c_0.3,42000,42,200,42,76,0.4957383515527258,3.935081177621402e-18,0.4957383515527258,0.4957383515527258,0.6006608940817412,0.0001395261515778484,0.6003874228246486,0.6009343653388337,0.09797301775763756,8.197524578369148e-05,0.09781234627590152,0.0981336892393736
0,power,power_c_0.3,42000,43,200,43,74,0.506307136486213,0.0,0.506307136486213,0.506307136486213,0.6143742369697244,0.00014060851563011206,0.6140986442790893,0.6146498296603594,0.10091381754565734,8.250861725763715e-05,0.10075210065583237,0.10107553443548231
0,power,power_c_0.3,42000,44,200,44,72,0.5175029148900441,0.0,0.5175029148900441,0.5175029148900441,0.6288951065950475,0.00014556096203856877,0.6286098071094519,0.6291804060806432,0.1040399802771702,8.480008154451093e-05,0.10387377211734296,0.10420618843699743
0,power,power_c_0.3,42000,45,200,45,70,0.5293779655329676,0.0,0.5293779655329676,0.5293779655329676,0.6442972324524672,0.00014812028846251235,0.6440069166870807,0.6445875482178537,0.10736576437493381,8.553604519420995e-05,0.10719811372635316,0.10753341502351446
0,power,power_c_0.3,42000,46,200,46,68,0.5419908031581686,0.0,0.5419908031581686,0.5419908031581686,0.6605681256563174,0.00014979296058577267,0.6602745314535693,0.6608617198590655,0.11085714375501751,8.619226106851337e-05,0.11068820692332322,0.1110260805867118
0,power,power_c_0.3,42000,47,200,47,66,0.5554071165487009,7.870162355242804e-18,0.5554071165487009,0.5554071165487009,0.6778494363984016,0.00015373897263847952,0.6775481080120301,0.678150764784773,0.11457014819959324,8.829668889913725e-05,0.11439708668935093,0.11474320970983555
0,power,power_c_0.3,42000,48,200,48,64,0.5697008831530229,7.870162355242804e-18,0.5697008831530229,0.5697008831530229,0.6962265855902021,0.00015900730298758223,0.6959149312763464,0.6965382399040578,0.11852037327325889,9.086882098767986e-05,0.11834227038412304,0.11869847616239473
0,power,power_c_0.3,42000,49,200,49,62,0.5849557000593394,7.870162355242804e-18,0.5849557000593394,0.5849557000593394,0.7158008538949909,0.0001632577589647781,0.71548086868742,0.7161208391025619,0.1227224055502158,9.302549924967534e-05,0.12254007557168643,0.12290473552874516
0,power,power_c_0.3,42000,50,200,50,60,0.601266381728684,0.0,0.601266381728684,0.601266381728684,0.7367444287294279,0.0001685441076736877,0.7364140822783874,0.7370747751804684,0.1272329547803681,9.596420266221578e-05,0.12704486494315018,0.12742104461758605
0,power,power_c_0.3,42000,51,200,51,58,0.6187408888124802,0.0,0.6187408888124802,0.6187408888124802,0.7591290191141531,0.00016618317474709673,0.7588033000916488,0.7594547381366574,0.1320416931818626,9.403924642411734e-05,0.13185737625887134,0.13222601010485385
0,power,power_c_0.3,42000,52,200,52,56,0.6375026707675796,0.0,0.6375026707675796,0.6375026707675796,0.7831641168389594,0.00016651080680536715,0.7828377556576208,0.7834904780202979,0.13721705780781132,9.35804273603402e-05,0.13703364017018504,0.1374004754454376
