family,trial,r2_power,r2_exp,r2_step,selected_model,true_family,q_power,q_exp,q_step,q_multi,q_0,q_star_emp,failure_mode
Power-Law (c=0.5),60,0.9846811903265104,0.9045111176343558,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),61,0.9688999308259932,0.952758101473983,0.0,power_law,power_law,30,77,10,30,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),62,0.9886850992935194,0.9178481098811434,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),63,0.9747191581461633,0.9592798445321459,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),64,0.9887254050831715,0.9339690520480152,0.0,power_law,power_law,30,77,10,30,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),65,0.9842027765399314,0.9086749308604516,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),66,0.9843218336600387,0.9340036649210993,0.0,power_law,power_law,29,77,10,29,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),67,0.98882999711559,0.8668728399321466,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),68,0.9799217366499925,0.921151077014849,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),69,0.9842054258553583,0.9317270623597707,0.0,power_law,power_law,28,77,10,28,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),70,0.9851130648678962,0.8421255189246876,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),71,0.9731699958649038,0.9517703814227241,0.0,power_law,power_law,37,78,10,37,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),72,0.9869845157680851,0.8971386523951567,0.0,power_law,power_law,36,77,10,36,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),73,0.964139762504507,0.8978736796998114,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),74,0.9801068530850003,0.9028702436086098,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),75,0.9916135965685742,0.9070105062195208,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),76,0.9892428444259656,0.917200254726467,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),77,0.9900366548465146,0.8677727505053117,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),78,0.9905032251548509,0.8713450535236191,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),79,0.9719024565052826,0.9649514055943554,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),80,0.9750624548120632,0.9529124652681137,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),81,0.991930998853037,0.858551042687643,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),82,0.9860578237142842,0.9453879429914882,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
