c,k,l,median_rel_err,iqr_rel_err,mean_rel_err,std_rel_err,is_optuna_best,is_standard_hutchpp,error_reduction_ratio_vs_std,exact_trace
1.5,120,60,0.0003209272186370268,0.0004155961841041802,0.00038602803403929445,0.0003022700997367606,False,False,0.8755504249620346,2.52297732858438
1.5,30,240,0.0008861907543080833,0.000894417652927104,0.0009983575692089671,0.0007908397574571058,False,False,0.31707390456688,2.52297732858438
1.5,140,20,0.0005756305657835377,0.00064903458800331,0.0006314291501248548,0.0004551000485837804,False,False,0.48813940635181,2.52297732858438
1.5,100,100,0.0002809879626595326,0.00041874961972269585,0.00036248935277823877,0.0002715804723916004,False,True,1.0,2.52297732858438
1.5,20,260,0.0010457592059308618,0.0014910344214375316,0.0013077272710626806,0.0009787530878078326,False,False,0.2686927937769544,2.52297732858438
1.5,80,140,0.00029119831244350336,0.0005185372034522315,0.00036105620709766633,0.00029737621236411557,False,False,0.9649367824343017,2.52297732858438
1.5,110,80,0.0002691503412714201,0.00043758592643809106,0.00034769690625600545,0.00031917706599522114,True,False,1.0439814466970156,2.52297732858438
1.5,40,220,0.0007364550950824381,0.0006612805990591085,0.0008018432683785831,0.0005280957897955158,False,False,0.3815412026283545,2.52297732858438
1.5,10,280,0.0016036615254224678,0.002956961453798806,0.002541348890243423,0.002281335170205922,False,False,0.17521650186469945,2.52297732858438
1.5,60,180,0.0003776070413607789,0.00033183812824256147,0.0004610224666631059,0.0003190592017713891,False,False,0.744127974009539,2.52297732858438
1.5,130,40,0.00037945236978913634,0.0003866389889155712,0.0004646472753990538,0.00033375857426631465,False,False,0.7405091785714215,2.52297732858438
2.0,90,120,4.95901898537927e-05,6.19314462309302e-05,5.1101334581193864e-05,3.955244127608644e-05,False,False,0.9128164380976341,1.6429360655148944
2.0,70,160,6.091871002423655e-05,5.652801935295512e-05,6.514601086889483e-05,4.792624846330709e-05,False,False,0.7430679416703847,1.6429360655148944
2.0,50,200,7.998701341287664e-05,0.0001156618335138952,0.00010556274338878978,7.694164451828891e-05,False,False,0.5659261239479816,1.6429360655148944
2.0,120,60,3.498635837189674e-05,3.323727631565787e-05,3.836638535312726e-05,3.0261231348313815e-05,True,False,1.2938397299241524,1.6429360655148944
