spectrum_index,rank_index,setup_name,step_rank,eta,orientation_seed,budget,analysis_role,risk_name,representative_minimizer_q,minimum_q_smallest,minimum_q_largest,minimum_q_count,minimum_is_zero,minimum_is_plateau,minimum_mean_risk,mean_trial_minimizer_q,median_trial_minimizer_q,bootstrap_q_ci_low,bootstrap_q_ci_high,bootstrap_samples,bootstrap_seed
7,1,step_r15_eta_1e-06,15,1e-06,52001,240,sensitivity,full_risk,15,15,15,1,False,False,4.6190476190476184e-12,15.0,15.0,15.0,15.0,20000,20260819
7,1,step_r15_eta_1e-06,15,1e-06,52001,240,sensitivity,rank_risk,15,15,15,1,False,False,4.6190476190476184e-12,15.0,15.0,15.0,15.0,20000,20260820
7,1,step_r15_eta_1e-06,15,1e-06,52001,240,sensitivity,gaussian_risk,16,16,16,1,False,False,4.654849764986832e-12,15.075,15.0,16.0,16.0,20000,20260821
7,1,step_r15_eta_1e-06,15,1e-06,52001,240,sensitivity,rademacher_risk,16,16,16,1,False,False,1.4855661755506676e-13,15.1,15.0,16.0,16.0,20000,20260822
8,2,step_r30_eta_0,30,0.0,52002,80,sensitivity,full_risk,30,30,36,7,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260823
8,2,step_r30_eta_0,30,0.0,52002,80,sensitivity,rank_risk,30,30,36,7,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260824
8,2,step_r30_eta_0,30,0.0,52002,80,sensitivity,gaussian_risk,30,30,36,7,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260825
8,2,step_r30_eta_0,30,0.0,52002,80,sensitivity,rademacher_risk,30,30,36,7,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260826
8,2,step_r30_eta_0,30,0.0,52002,160,primary,full_risk,30,30,76,47,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260823
8,2,step_r30_eta_0,30,0.0,52002,160,primary,rank_risk,30,30,76,47,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260824
8,2,step_r30_eta_0,30,0.0,52002,160,primary,gaussian_risk,30,30,76,47,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260825
8,2,step_r30_eta_0,30,0.0,52002,160,primary,rademacher_risk,30,30,76,47,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260826
8,2,step_r30_eta_0,30,0.0,52002,240,sensitivity,full_risk,30,30,116,87,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260823
8,2,step_r30_eta_0,30,0.0,52002,240,sensitivity,rank_risk,30,30,116,87,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260824
8,2,step_r30_eta_0,30,0.0,52002,240,sensitivity,gaussian_risk,30,30,116,87,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260825
8,2,step_r30_eta_0,30,0.0,52002,240,sensitivity,rademacher_risk,30,30,116,87,True,True,0.0,30.0,30.0,30.0,30.0,20000,20260826
9,2,step_r30_eta_1e-14,30,1e-14,52002,80,sensitivity,full_risk,30,30,30,1,False,False,4.6999999999999996e-27,30.0,30.0,30.0,30.0,20000,20260823
9,2,step_r30_eta_1e-14,30,1e-14,52002,80,sensitivity,rank_risk,30,30,30,1,False,False,4.6999999999999996e-27,30.0,30.0,30.0,30.0,20000,20260824
9,2,step_r30_eta_1e-14,30,1e-14,52002,80,sensitivity,gaussian_risk,30,30,30,1,False,False,4.7000000004612986e-27,30.0,30.0,30.0,30.0,20000,20260825
9,2,step_r30_eta_1e-14,30,1e-14,52002,80,sensitivity,rademacher_risk,30,30,30,1,False,False,2.8090914284904997e-28,30.0,30.0,30.0,30.0,20000,20260826
9,2,step_r30_eta_1e-14,30,1e-14,52002,160,primary,full_risk,30,30,30,1,False,False,9.4e-28,30.0,30.0,30.0,30.0,20000,20260823
9,2,step_r30_eta_1e-14,30,1e-14,52002,160,primary,rank_risk,30,30,30,1,False,False,9.4e-28,30.0,30.0,30.0,30.0,20000,20260824
9,2,step_r30_eta_1e-14,30,1e-14,52002,160,primary,gaussian_risk,30,30,30,1,False,False,9.400000000922598e-28,30.0,30.0,30.0,30.0,20000,20260825
9,2,step_r30_eta_1e-14,30,1e-14,52002,160,primary,rademacher_risk,30,30,30,1,False,False,5.618182856980999e-29,30.0,30.0,30.0,30.0,20000,20260826
9,2,step_r30_eta_1e-14,30,1e-14,52002,240,sensitivity,full_risk,30,30,30,1,False,False,5.222222222222221e-28,30.0,30.0,30.0,30.0,20000,20260823
9,2,step_r30_eta_1e-14,30,1e-14,52002,240,sensitivity,rank_risk,30,30,30,1,False,False,5.222222222222221e-28,30.0,30.0,30.0,30.0,20000,20260824
9,2,step_r30_eta_1e-14,30,1e-14,52002,240,sensitivity,gaussian_risk,30,30,30,1,False,False,5.222222222734776e-28,30.0,30.0,30.0,30.0,20000,20260825
9,2,step_r30_eta_1e-14,30,1e-14,52002,240,sensitivity,rademacher_risk,30,30,30,1,False,False,3.121212698322778e-29,30.0,30.0,30.0,30.0,20000,20260826
10,2,step_r30_eta_1e-10,30,1e-10,52002,80,sensitivity,full_risk,30,30,30,1,False,False,4.699999999999999e-19,30.0,30.0,30.0,30.0,20000,20260823
10,2,step_r30_eta_1e-10,30,1e-10,52002,80,sensitivity,rank_risk,30,30,30,1,False,False,4.699999999999999e-19,30.0,30.0,30.0,30.0,20000,20260824
10,2,step_r30_eta_1e-10,30,1e-10,52002,80,sensitivity,gaussian_risk,30,30,30,1,False,False,4.700004645896941e-19,30.0,30.0,30.0,30.0,20000,20260825
10,2,step_r30_eta_1e-10,30,1e-10,52002,80,sensitivity,rademacher_risk,30,30,30,1,False,False,2.809094472807586e-20,30.0,30.0,30.0,30.0,20000,20260826
10,2,step_r30_eta_1e-10,30,1e-10,52002,160,primary,full_risk,30,30,30,1,False,False,9.400000000000003e-20,30.0,30.0,30.0,30.0,20000,20260823
10,2,step_r30_eta_1e-10,30,1e-10,52002,160,primary,rank_risk,30,30,30,1,False,False,9.400000000000003e-20,30.0,30.0,30.0,30.0,20000,20260824
10,2,step_r30_eta_1e-10,30,1e-10,52002,160,primary,gaussian_risk,30,30,30,1,False,False,9.400009291793883e-20,30.0,30.0,30.0,30.0,20000,20260825
10,2,step_r30_eta_1e-10,30,1e-10,52002,160,primary,rademacher_risk,30,30,30,1,False,False,5.618188945615172e-21,30.0,30.0,30.0,30.0,20000,20260826
10,2,step_r30_eta_1e-10,30,1e-10,52002,240,sensitivity,full_risk,30,30,30,1,False,False,5.222222222222221e-20,30.0,30.0,30.0,30.0,20000,20260823
10,2,step_r30_eta_1e-10,30,1e-10,52002,240,sensitivity,rank_risk,30,30,30,1,False,False,5.222222222222221e-20,30.0,30.0,30.0,30.0,20000,20260824
10,2,step_r30_eta_1e-10,30,1e-10,52002,240,sensitivity,gaussian_risk,30,30,30,1,False,False,5.222227384329935e-20,30.0,30.0,30.0,30.0,20000,20260825
10,2,step_r30_eta_1e-10,30,1e-10,52002,240,sensitivity,rademacher_risk,30,30,30,1,False,False,3.1212160808973177e-21,30.0,30.0,30.0,30.0,20000,20260826
11,2,step_r30_eta_1e-06,30,1e-06,52002,80,sensitivity,full_risk,30,30,30,1,False,False,4.7000000000000006e-11,30.0,30.0,30.0,30.0,20000,20260823
11,2,step_r30_eta_1e-06,30,1e-06,52002,80,sensitivity,rank_risk,30,30,30,1,False,False,4.7000000000000006e-11,30.0,30.0,30.0,30.0,20000,20260824
11,2,step_r30_eta_1e-06,30,1e-06,52002,80,sensitivity,gaussian_risk,31,31,31,1,False,False,5.2120313310908774e-11,30.045,30.0,30.0,31.0,20000,20260825
11,2,step_r30_eta_1e-06,30,1e-06,52002,80,sensitivity,rademacher_risk,31,31,31,1,False,False,3.219492844132488e-12,30.08,30.0,31.0,31.0,20000,20260826
11,2,step_r30_eta_1e-06,30,1e-06,52002,160,primary,full_risk,30,30,30,1,False,False,9.400000000000001e-12,30.0,30.0,30.0,30.0,20000,20260823
11,2,step_r30_eta_1e-06,30,1e-06,52002,160,primary,rank_risk,30,30,30,1,False,False,9.400000000000001e-12,30.0,30.0,30.0,30.0,20000,20260824
11,2,step_r30_eta_1e-06,30,1e-06,52002,160,primary,gaussian_risk,31,31,31,1,False,False,9.573118771391409e-12,30.075,30.0,30.0,31.0,20000,20260825
11,2,step_r30_eta_1e-06,30,1e-06,52002,160,primary,rademacher_risk,31,31,31,1,False,False,5.913354203508651e-13,30.1,30.0,31.0,31.0,20000,20260826
11,2,step_r30_eta_1e-06,30,1e-06,52002,240,sensitivity,full_risk,30,30,30,1,False,False,5.222222222222224e-12,30.0,30.0,30.0,30.0,20000,20260823
11,2,step_r30_eta_1e-06,30,1e-06,52002,240,sensitivity,rank_risk,30,30,30,1,False,False,5.222222222222224e-12,30.0,30.0,30.0,30.0,20000,20260824
11,2,step_r30_eta_1e-06,30,1e-06,52002,240,sensitivity,gaussian_risk,31,31,31,1,False,False,5.270593480878415e-12,30.09,30.0,31.0,31.0,20000,20260825
11,2,step_r30_eta_1e-06,30,1e-06,52002,240,sensitivity,rademacher_risk,31,31,31,1,False,False,3.255666921032853e-13,30.105,30.0,31.0,31.0,20000,20260826
